{4.0000000048799365, 1.}
{4.000000078074725, 1.}
{4.000000395217447, 1.}
{4.000001248923828, 1.}
{4.0000030486336, 0.9999999999999999}
{4.000006320389338, 0.9999999999999986}
{4.000011706553726, 0.9999999999999896}
{4.000019965466433, 0.9999999999999406}
{4.000031971042059, 0.999999999999726}
{4.000048712310884, 0.9999999999989243}
{4.000071292904347, 0.999999999996297}
{4.000100930487503, 0.9999999999885627}
{4.000138956140858, 0.9999999999677565 + 2.0057690503601476*^-10*I}
{4.000186813694302, 0.9999999999159174 + 4.499356400321055*^-10*I}
{4.0002460590160105, 0.9999999997950261 + 9.526298806912311*^-10*I}
{4.000318359259431, 0.9999999995289142 + 1.9171973530230903*^-9*I}
{4.0004054920717, 0.9999999989721954 + 3.6885954644127884*^-9*I}
{4.0005093447669795, 0.999999997859065 + 6.8161496421370115*^-9*I}
{4.0006319134684505, 0.9999999957220128 + 1.2144465942820572*^-8*I}
{4.000775302222831, 0.9999999917671328 + 2.0930136197852318*^-8*I}
{4.000941722091489, 0.9999999846888872 + 3.4985013340795156*^-8*I}
{4.001133490222371, 0.9999999724031312 + 5.6843352982778826*^-8*I}
{4.001353028907094, 0.9999999516733157 + 8.994486896621518*^-8*I}
{4.001602864627732, 0.9999999176016212 + 1.3881847049111153*^-7*I}
{4.001885627097907, 0.9999998629550808 + 2.092420150191716*^-7*I}
{4.0022040483029535, 0.9999997772974081 + 3.0834193064450703*^-7*I}
{4.002560961544007, 0.9999996459012567 + 4.4458345327890773*^-7*I}
{4.002959300490973, 0.9999994484239619 + 6.275882934012452*^-7*I}
{4.003402098249421, 0.9999991573432871 + 8.677030288930125*^-7*I}
{4.0038924864465315, 0.9999987361688272 + 1.175230071588845*^-6*I}
{4.00443369434127, 0.9999981374694988 + 1.5592256814244392*^-6*I}
{4.005029047964062, 0.9999973007873124 + 2.025768406962936*^-6*I}
{4.005681969291232, 0.9999961505408698 + 2.575608686815887*^-6*I}
{4.006395975459594, 0.9999945940564626 + 3.201128001183527*^-6*I}
{4.00717467802652, 0.9999925198971054 + 3.882565113630173*^-6*I}
{4.008021782280932, 0.9999897966866348 + 4.583507818962767*^-6*I}
{4.00894108661061, 0.9999862726431245 + 5.245700217427685*^-6*I}
{4.009936481931277, 0.9999817760394593 + 5.783275504122416*^-6*I}
{4.0110119511828906, 0.999976116795754 + 6.07658887613376*^-6*I}
{4.012171568898606, 0.9999690893762733 + 5.965889536082045*^-6*I}
{4.013419500851852, 0.9999604771120164 + 5.245129232975191*^-6*I}
{4.014760003786985, 0.9999500580003852 + 3.656251373522529*^-6*I}
{4.016197425238942, 0.999937611948423 + 8.843338276576797*^-7*I}
{4.017736203447363, 0.9999229293308742 - 3.446034546839931*^-6*I}
{4.0193808673705815, 0.9999058206349897 - 9.77278211247288*^-6*I}
{4.021136036804924, 0.9998861268677952 - 0.000018596470969416542*I}
{4.023006422614737, 0.9998637303158584 - 0.000030478256254871196*I}
{4.024996827078543, 0.999838565179479 - 0.00004603553633289397*I}
{4.027112144356737, 0.9998106275586748 - 0.00006593525338035385*I}
{4.029357361086243, 0.999779984251754 - 0.00009088492650694925*I}
{4.031737557107532, 0.9997467798411043 - 0.00012162162587913622*I}
{4.03425790632944, 0.9997112415854099 - 0.00015889921841965104*I}
{4.036923677737223, 0.9996736817110032 - 0.00020347432582816467*I}
{4.039740236549314, 0.9996344967937147 - 0.00025609152702362956*I}
{4.042713045528288, 0.9995941640410266 - 0.00031746840403658197*I}
{4.04584766645157, 0.9995532344160468 - 0.00038828106889570883*I}
{4.049149761747469, 0.9995123226826106 - 0.0004691508169893407*I}
{4.05262509630221, 0.9994720945873499 - 0.0005606325294300919*I}
{4.056279539443648, 0.9994332515228213 - 0.00066320539456642*I}
{4.060119067107526, 0.9993965131294699 - 0.0007772664399860477*I}
{4.064149764192138, 0.9993625983880685 - 0.0009031272654339913*I}
{4.068377827107431, 0.9993322058243372 - 0.0010410142492483395*I}
{4.072809566524719, 0.9993059934911105 - 0.0011910723720019798*I}
{4.077451410333255, 0.9992845594094982 - 0.0013533726670533815*I}
{4.082309906810166, 0.9992684231391277 - 0.0015279231745776714*I}
{4.087391728010344, 0.9992580091101539 - 0.0017146831489104827*I}
{4.0927036733831645, 0.9992536322887189 - 0.0019135801536198083*I}
{4.0982526736230565, 0.9992554866662047 - 0.0021245295787724622*I}
{4.104045794761242, 0.9992636369648823 - 0.002347456033636152*I}
{4.110090242506189, 0.9992780138427052 - 0.0025823160078608373*I}
{4.116393366840638, 0.9992984127625482 - 0.002829121156363061*I}
{4.122962666883355, 0.9993244965706394 - 0.0030879615481214906*I}
{4.129805796024092, 0.9993558017095898 - 0.003359028226454569*I}
{4.136930567340654, 0.999391747877303 - 0.0036426344569049952*I}
{4.144344959307283, 0.9994316508377055 - 0.00393923508676382*I}
{4.152057121804065, 0.999474737995737 - 0.004249443505163049*I}
{4.16007538243749, 0.999520166269849 - 0.004574045771778918*I}
{4.168408253182765, 0.9995670417322665 - 0.004914011572466387*I}
{4.177064437359042, 0.9996144404417381 - 0.0052705017583737634*I}
{4.1860528369492505, 0.9996614298660876 - 0.005644872327996797*I}
{4.19538256027682, 0.9997070902827078 - 0.0060386748160024106*I}
{4.205062930052235, 0.9997505355537469 - 0.006453653155396299*I}
{4.215103491803007, 0.999790932698236 - 0.006891737177847883*I}
{4.225514022701408, 0.9998275197244545 - 0.0073550330081143134*I}
{4.236304540805039, 0.9998596212407435 - 0.007845810690237213*I}
{4.247485314726133, 0.999886661429781 - 0.008366489453595085*I}
{4.2590668737463915, 0.9999081740478271 - 0.008919621084438384*I}
{4.271060018394988, 0.9999238091942783 - 0.009507871912069601*I}
{4.283475831508457, 0.9999333366856104 - 0.01013400394761753*I}
{4.296325689792119, 0.9999366459589472 - 0.01080085572705232*I}
{4.309621275903861, 0.9999337425216617 - 0.011511323408741636*I}
{4.323374591082214, 0.9999247410522301 - 0.012268342659870389*I}
{4.337597968341927, 0.9999098553418212 - 0.013074871836189004*I}
{4.352304086261532, 0.9998893853437729 - 0.013933876916878973*I}
{4.367505983388776, 0.9998637016673843 - 0.01484831860216179*I}
{4.383217073291287, 0.9998332279117631 - 0.015821141917193794*I}
{4.399451160281378, 0.9997984212835357 - 0.01685526859354021*I}
{4.416222455845554, 0.9997597519780431 - 0.01795359242100811*I}
{4.433545595811024, 0.9997176818265391 - 0.019118977679842674*I}
{4.4514356582834145, 0.9996726427214745 - 0.020354260678312204*I}
{4.469908182391786, 0.9996250153281514 - 0.0216622543355946*I}
{4.488979187879203, 0.9995751085740764 - 0.02304575566666937*I}
