{4.0000000048799365, 1.}
{4.000000078074725, 0.9999999999999963}
{4.000000395217447, 0.9999999999997882}
{4.000001248923828, 0.9999999999962403 + 1.7120074152332742*^-10*I}
{4.0000030486336, 0.9999999999650093 + 1.0196271526534348*^-9*I}
{4.000006320389338, 0.9999999997835569 + 4.378747035756244*^-9*I}
{4.000011706553726, 0.9999999989902387 + 1.5000756646742526*^-8*I}
{4.000019965466433, 0.9999999961688748 + 4.353942580727132*^-8*I}
{4.000031971042059, 0.9999999875901537 + 1.1129688600145051*^-7*I}
{4.000048712310884, 0.9999999645250837 + 2.5725101479124707*^-7*I}
{4.000071292904347, 0.9999999083726273 + 5.47798732189687*^-7*I}
{4.000100930487503, 0.9999997824246085 + 1.089483399382435*^-6*I}
{4.000138956140858, 0.9999995187505523 + 2.0446702361364415*^-6*I}
{4.000186813694302, 0.9999989983653039 + 3.6496591763149155*^-6*I}
{4.0002460590160105, 0.9999980226053273 + 6.2340547356305745*^-6*I}
{4.000318359259431, 0.9999962735687765 + 0.000010239339450903494*I}
{4.0004054920717, 0.999993261671202 + 0.000016233542223806774*I}
{4.0005093447669795, 0.9999882589444566 + 0.000024917717578300954*I}
{4.0006319134684505, 0.9999802177675381 + 0.000037118770753754114*I}
{4.000775302222831, 0.999967676344396 + 0.00005376214976051081*I}
{4.000941722091489, 0.9999486544597262 + 0.00007581730869676038*I}
{4.001133490222371, 0.999920545787646 + 0.00010420889818868685*I}
{4.001353028907094, 0.9998800161228443 + 0.00013968764111663815*I}
{4.001602864627732, 0.9998229200386844 + 0.00018265705058221701*I}
{4.001885627097907, 0.9997442512087679 + 0.00023295569053160235*I}
{4.0022040483029535, 0.9996381434114132 + 0.00028959955195456184*I}
{4.002560961544007, 0.9994979394829286 + 0.00035049508143886096*I}
{4.002959300490973, 0.9993163436598038 + 0.00041213996056167697*I}
{4.003402098249421, 0.9990856684819498 + 0.00046933515199341257*I}
{4.0038924864465315, 0.9987981806295426 + 0.0005149370702862272*I}
{4.00443369434127, 0.9984465410174704 + 0.0005396819966429212*I}
{4.005029047964062, 0.9980243238687111 + 0.0005321151152807547*I}
{4.005681969291232, 0.9975265884073263 + 0.0004786531418271158*I}
{4.006395975459594, 0.9969504666005524 + 0.0003638021996058079*I}
{4.00717467802652, 0.9962957224771497 + 0.00017054166475752216*I}
{4.008021782280932, 0.9955652342663925 - 0.00011912901213633305*I}
{4.00894108661061, 0.9947653508984586 - 0.0005234986660319512*I}
{4.009936481931277, 0.9939060797114966 - 0.0010603410877492241*I}
{4.0110119511828906, 0.9930010723220126 - 0.0017460461665385137*I}
{4.012171568898606, 0.992067389703389 - 0.0025947411766563495*I}
{4.013419500851852, 0.9911250442269933 - 0.003617462666833456*I}
{4.014760003786985, 0.9901963340561379 - 0.004821438830265945*I}
{4.016197425238942, 0.9893050020420767 - 0.006209536270238445*I}
{4.017736203447363, 0.9884752654804293 - 0.007779914334399358*I}
{4.0193808673705815, 0.987730773407761 - 0.009525915780537266*I}
{4.021136036804924, 0.987093553690351 - 0.01143620591257692*I}
{4.023006422614737, 0.9865830126616688 - 0.013495155086741348*I}
{4.024996827078543, 0.9862150457136011 - 0.015683443183741434*I}
{4.027112144356737, 0.9860013087049596 - 0.01797885060707997*I}
{4.029357361086243, 0.9859486883180409 - 0.020357189599942163*I}
{4.031737557107532, 0.9860589957585565 - 0.022793322777208316*I}
{4.03425790632944, 0.986328893691813 - 0.025262212943488765*I}
{4.036923677737223, 0.9867500521962222 - 0.027739949343219963*I}
{4.039740236549314, 0.9873095167776371 - 0.030204699996290933*I}
{4.042713045528288, 0.9879902608724959 - 0.03263754703233185*I}
{4.04584766645157, 0.988771887258964 - 0.03502317114931239*I}
{4.049149761747469, 0.9896314376170833 - 0.03735036165507593*I}
{4.05262509630221, 0.9905442671203334 - 0.03961233921123864*I}
{4.056279539443648, 0.9914849411973327 - 0.04180688868961331*I}
{4.060119067107526, 0.9924281141249625 - 0.04393630890472613*I}
{4.064149764192138, 0.9933493534615583 - 0.04600719398333547*I}
{4.068377827107431, 0.9942258800147372 - 0.048030067505264895*I}
{4.072809566524719, 0.9950371995733226 - 0.05001889517263786*I}
{4.077451410333255, 0.9957656095564715 - 0.05199050463314566*I}
{4.082309906810166, 0.9963965706384381 - 0.053963942293743544*I}
{4.087391728010344, 0.9969189399553298 - 0.05595979668568181*I}
{4.0927036733831645, 0.9973250684267612 - 0.05799951640207497*I}
{4.0982526736230565, 0.9976107698423106 - 0.06010474807537665*I}
{4.104045794761242, 0.9977751735535972 - 0.062296716552996484*I}
{4.110090242506189, 0.99782047582506 - 0.06459566561688967*I}
{4.116393366840638, 0.997751607131973 - 0.06702037351072439*I}
{4.122962666883355, 0.9975758339984402 - 0.06958775339297013*I}
{4.129805796024092, 0.9973023144197571 - 0.07231254480119387*I}
{4.136930567340654, 0.9969416256143696 - 0.07520709843356642*I}
{4.144344959307283, 0.9965052819164678 - 0.07828125313600884*I}
{4.152057121804065, 0.9960052591731373 - 0.08154230100355347*I}
{4.16007538243749, 0.9954535401719964 - 0.08499503400926361*I}
{4.168408253182765, 0.9948616935134355 - 0.088641863584823*I}
{4.177064437359042, 0.9942404960643129 - 0.09248300309342054*I}
{4.1860528369492505, 0.9935996067844263 - 0.09651670213995021*I}
{4.19538256027682, 0.9929472973877529 - 0.10073952112420737*I}
{4.205062930052235, 0.9922902430583856 - 0.10514663431792984*I}
{4.215103491803007, 0.9916333743439273 - 0.10973214998753054*I}
{4.225514022701408, 0.9909797894414735 - 0.11448943663842423*I}
{4.236304540805039, 0.9903307244057357 - 0.11941144526947518*I}
{4.247485314726133, 0.9896855773667304 - 0.12449101854304044*I}
{4.2590668737463915, 0.9890419816573628 - 0.1297211789449132*I}
{4.271060018394988, 0.9883959218221299 - 0.1350953892797432*I}
{4.283475831508457, 0.9877418858027743 - 0.14060778017566603*I}
{4.296325689792119, 0.9870730461646863 - 0.14625334061582815*I}
{4.309621275903861, 0.9863814630240241 - 0.1520280688380127*I}
{4.323374591082214, 0.9856583013409808 - 0.1579290822154361*I}
{4.337597968341927, 0.9848940554377192 - 0.1639546859258111*I}
{4.352304086261532, 0.9840787739567189 - 0.17010440131071008*I}
{4.367505983388776, 0.9832022789720583 - 0.17637895580658008*I}
{4.383217073291287, 0.9822543735775313 - 0.18278023718039293*I}
{4.399451160281378, 0.9812250329767019 - 0.18931121551891375*I}
{4.416222455845554, 0.9801045748669472 - 0.19597583699677337*I}
{4.433545595811024, 0.9788838057192262 - 0.20277889388415982*I}
{4.4514356582834145, 0.9775541403861319 - 0.20972587555223263*I}
{4.469908182391786, 0.976107693302803 - 0.21682280539815874*I}
{4.488979187879203, 0.9745373403603868 - 0.2240760686490555*I}
{4.508665195579278, 0.9728367513138372 - 0.23149223592404478*I}
{4.528983248821485, 0.9710003933208606 - 0.23907788724653023*I}
{4.5499509358105135, 0.9690235068848048 - 0.24683944091632234*I}
{4.571586413027576, 0.9669020560813968 - 0.2547829912858375*I}
{4.593908429704415, 0.9646326554796697 - 0.2629141590493191*I}
{4.6169363534237, 0.9622124766154081 - 0.2712379571622121*I}
{4.640690196902693, 0.95963913723714 - 0.2797586749728424*I}
{4.66519064602043, 0.9569105768180748 - 0.28847978258363094*I}
{4.69045908915222, 0.9540249220121269 - 0.2974038568770535*I}
{4.7165176478790825, 0.9509803458295122 - 0.30653253005476183*I}
{4.743389209143773, 0.947774924320066 - 0.315866460958341*I}
{4.771097458929365, 0.9444064944843696 - 0.32540532887792534*I}
{4.799666917540904, 0.9408725169891309 - 0.3351478490202499*I}
{4.829122976575547, 0.9371699470501249 - 0.34509180830960334*I}
{4.859491937671779, 0.9332951165703267 - 0.35523411974145835*I}
{4.890801053133806, 0.929243630290275 - 0.3655708931060544*I}
{4.92307856853316, 0.9250102783303681 - 0.37609751955355497*I}
{4.956353767395754, 0.9205889670892637 - 0.3868087671881154*I}
{4.990657018089409, 0.9159726700176597 - 0.3976988846586514*I}
{5.026019823033938, 0.9111533993214077 - 0.40876170956156516*I}
{5.062474870363548, 0.9061221991711197 - 0.4199907783863342*I}
{5.100056088179427, 0.9008691605159801 - 0.43137943471882234*I}
{5.138798701539092, 0.8953834571260246 - 0.44292093246856423*I}
{5.178739292338363, 0.8896534020279517 - 0.4546085310032812*I}
{5.219915862251736, 0.8836665230625378 - 0.4664355792538236*I}
{5.262367898907573, 0.8774096558843192 - 0.4783955860921119*I}
{5.306136445485848, 0.8708690523532939 - 0.4904822745792461*I}
{5.351264173938383, 0.8640305019402569 - 0.5026896180259195*I}
{5.397795462044484, 0.8568794634876835 - 0.5150118561971807*I}
{5.4457764745288335, 0.8494012044418178 - 0.5274434904225404*I}
{5.495255248483457, 0.8415809445031127 - 0.5399792568341177*I}
{5.546281783351545, 0.8334040005350825 - 0.5526140774433353*I}
{5.598908135748106, 0.824855929528905 - 0.5653429892737105*I}
{5.653188519410865, 0.8159226664450986 - 0.5781610522864866*I}
{5.709179410594539, 0.806590653845958 - 0.5910632373599284*I}
{5.766939659242906, 0.7968469603942578 - 0.6040442961047469*I}
{5.826530606295876, 0.7866793855255287 - 0.6170986148098179*I}
{5.88801620751325, 0.7760765479029248 - 0.6302200553065712*I}
{5.951463164223291, 0.7650279556347841 - 0.6434017860094423*I}
{6.0169410614325045, 0.7535240566743366 - 0.6566361068257434*I}
{6.084522513763596, 0.7415562683270254 - 0.669914272023154*I}
{6.154283319721427, 0.729116985361404 - 0.6832263154883955*I}
{6.226302624822175, 0.716199566851747 - 0.6965608830978134*I}
{6.3006630941590815, 0.702798302570808 - 0.7099050771403826*I}
{6.377451095019287, 0.6889083604951665 - 0.7232443178763605*I}
{6.456756890210663, 0.6745257177777941 - 0.7365622273701428*I}
{6.538674842805442, 0.6596470783759897 - 0.7498405406928873*I}
{6.623303633059188, 0.6442697813891737 - 0.7630590494375559*I}
{6.71074648831955, 0.6283917050496757 - 0.7761955822140361*I}
{6.801111426799643, 0.6120111722076266 - 0.7892260263823024*I}
{6.894511516156303, 0.5951268640425427 - 0.8021243947243496*I}
{6.991065147884113, 0.577737749599937 - 0.8148629400381935*I}
{7.090896328612731, 0.5598430395682298 - 0.827412319747575*I}
{7.19413498947795, 0.5414421734519561 - 0.8397418115484208*I}
{7.300917314826844, 0.522534849929649 - 0.8518195798490906*I}
{7.411386091614829, 0.5031211106716595 - 0.8636129913006787*I}
{7.525691080958282, 0.4832014881922412 - 0.8750889760552915*I}
{7.643989413421201, 0.4627772283740848 - 0.8862144295393588*I}
{7.766446009739145, 0.44185059808001476 - 0.8969566474982201*I}
{7.893234028819334, 0.42042528769965876 - 0.9072837848792847*I}
{8.02453534500327, 0.3985069175096163 - 0.9171653268069238*I}
{8.160541056738749, 0.3761036552938623 - 0.9265725575087825*I}
{8.301452028982906, 0.3532269507177364 - 0.935479010641*I}
{8.447479471848409, 0.32989238941869 - 0.9438608821057384*I}
{8.598845558212473, 0.30612066662217596 - 0.9516973842528144*I}
{8.755784083234927, 0.2819386762754112 - 0.9589710184205593*I}
{8.91854116897881, 0.25738070719529127 - 0.9656677412298947*I}
{9.087376017597062, 0.2324897325512745 - 0.9717769990476887*I}
{9.262561716844106, 0.2073187731788276 - 0.9772916047433747*I}
{9.44438610199409, 0.18193230880682812 - 0.9822074314506497*I}
{9.633152678601, 0.15640770438544746 - 0.9865228996941875*I}
{9.829181610923012, 0.13083661146702666 - 0.9902382371295659*I}
{10.03281078125784, 0.10532629721894912 - 0.9933544944435568*I}
