{4.013419500851852, 0.0018967637317874317 + 0.9989226897398111*I}
{4.014760003786985, 0.002039734215585439 + 0.9989539045032996*I}
{4.016197425238942, 0.0021579360454651265 + 0.9990146110684579*I}
{4.017736203447363, 0.0022379351671662604 + 0.9991052909448797*I}
{4.0193808673705815, 0.0022641705127921146 + 0.9992237679944065*I}
{4.021136036804924, 0.0022193261394949887 + 0.9993644529911986*I}
{4.023006422614737, 0.0020849179744221722 + 0.9995176215544892*I}
{4.024996827078543, 0.0018420977569132571 + 0.9996687837038032*I}
{4.027112144356737, 0.00147266070421491 + 0.9997982057857886*I}
{4.029357361086243, 0.0009602264952124947 + 0.9998806434103487*I}
{4.031737557107532, 0.0002915467500703698 + 0.9998853371079154*I}
{4.03425790632944, -0.0005421223182153807 + 0.9997763109038593*I}
{4.036923677737223, -0.001543654708357431 + 0.9995129985353065*I}
{4.039740236549314, -0.0027087765774372664 + 0.999051203598041*I}
{4.042713045528288, -0.004024957106652149 + 0.9983443797572759*I}
{4.04584766645157, -0.005470546850682762 + 0.9973451966879779*I}
{4.049149761747469, -0.007014233688355885 + 0.996007338061909*I}
{4.05262509630221, -0.0086148732692913 + 0.994287461018807*I}
{4.056279539443648, -0.010221733651964302 + 0.9921472333099997*I}
{4.060119067107526, -0.011775173721720994 + 0.9895553555774305*I}
{4.064149764192138, -0.013207753210828314 + 0.9864894725993661*I}
{4.068377827107431, -0.014445750047080453 + 0.9829378790159475*I}
{4.072809566524719, -0.015411039649330506 + 0.9789009319150758*I}
{4.077451410333255, -0.016023271881923512 + 0.9743920942622322*I}
{4.082309906810166, -0.016202265713277902 + 0.9694385487728061*I}
{4.087391728010344, -0.015870530001927015 + 0.9640813405166534*I}
{4.0927036733831645, -0.0149558117923699 + 0.9583750272358657*I}
{4.0982526736230565, -0.013393571294725284 + 0.9523868379064553*I}
{4.104045794761242, -0.011129285317421958 + 0.9461953613481214*I}
{4.110090242506189, -0.008120488032402682 + 0.9398888066214119*I}
{4.116393366840638, -0.004338469064432186 + 0.9335628946145087*I}
{4.122962666883355, 0.00023043668234447393 + 0.9273184548494843*I}
{4.129805796024092, 0.005584016136638033 + 0.9212588125667345*I}
{4.136930567340654, 0.011703832281021875 + 0.9154870582270894*I}
{4.144344959307283, 0.018555376465278096 + 0.9101032945698281*I}
{4.152057121804065, 0.026088710815943383 + 0.9052019553518569*I}
{4.16007538243749, 0.03423957478967372 + 0.9008692851226552*I}
{4.168408253182765, 0.04293091369743781 + 0.8971810612703861*I}
{4.177064437359042, 0.05207477312382914 + 0.8942006286375797*I}
{4.1860528369492505, 0.06157449201729844 + 0.8919773038662224*I}
{4.19538256027682, 0.07132711911630987 + 0.890545191956923*I}
{4.205062930052235, 0.08122597243518487 + 0.8899224419939175*I}
{4.215103491803007, 0.09116325975046834 + 0.8901109532578897*I}
{4.225514022701408, 0.10103267926395133 + 0.8910965276374072*I}
{4.236304540805039, 0.11073192362175106 + 0.8928494499051819*I}
{4.247485314726133, 0.12016501690117017 + 0.8953254645112333*I}
{4.2590668737463915, 0.12924442263385655 + 0.8984671064302713*I}
{4.271060018394988, 0.13789287096800987 + 0.9022053345537339*I}
{4.283475831508457, 0.14604486421675544 + 0.9064614093055259*I}
{4.296325689792119, 0.15364783182730743 + 0.9111489516551815*I}
{4.309621275903861, 0.1606629177873856 + 0.9161761184838129*I}
{4.323374591082214, 0.1670653952460787 + 0.9214478292281708*I}
{4.337597968341927, 0.17284471429574208 + 0.9268679807203319*I}
{4.352304086261532, 0.17800419912331292 + 0.9323415909345792*I}
{4.367505983388776, 0.1825604198368513 + 0.9377768176880388*I}
{4.383217073291287, 0.18654227201156645 + 0.9430868049295728*I}
{4.399451160281378, 0.18998980324663603 + 0.9481913167901102*I}
{4.416222455845554, 0.19295283070732694 + 0.9530181277523105*I}
{4.433545595811024, 0.19548939672973517 + 0.9575041458314679*I}
{4.4514356582834145, 0.19766411112175727 + 0.9615962542628211*I}
{4.469908182391786, 0.19954642888144924 + 0.9652518656068255*I}
{4.488979187879203, 0.2012089107871939 + 0.9684391901866823*I}
{4.508665195579278, 0.20272551183678414 + 0.9711372281679427*I}
{4.528983248821485, 0.2041699389900622 + 0.9733355012201931*I}
