{4.0000000048799365, -0.9999999987799589}
{4.000000078074725, -0.9999999804667156 - 4.095227213917299*^-9*I}
{4.000000395217447, -0.99999990082145 - 4.6639153402747514*^-8*I}
{4.000001248923828, -0.9999996840325472 - 2.6197379942570947*^-7*I}
{4.0000030486336, -0.9999992155803477 - 9.989000782804146*^-7*I}
{4.000006320389338, -0.9999983242428264 - 2.9806900415637333*^-6*I}
{4.000011706553726, -0.999996745311456 - 7.5088961160710204*^-6*I}
{4.000019965466433, -0.9999940549684593 - 0.000016708592081884*I}
{4.000031971042059, -0.9999895638418059 - 0.00003381093079700443*I}
{4.000048712310884, -0.9999821561212204 - 0.00006346656894741403*I}
{4.000071292904347, -0.9999700594481901 - 0.00011208045676718126*I}
{4.000100930487503, -0.9999505302912275 - 0.00018815469254264403*I}
{4.000138956140858, -0.9999194399329548 - 0.00030262162685772517*I}
{4.000186813694302, -0.9998707478112806 - 0.000469144275681642*I}
{4.0002460590160105, -0.9997958520756415 - 0.0007043555675401877*I}
{4.000318359259431, -0.9996828121380013 - 0.0010280023279522113*I}
{4.0004054920717, -0.9995154449731173 - 0.001462954645859315*I}
{4.0005093447669795, -0.9992723061227907 - 0.002035036962283002*I}
{4.0006319134684505, -0.9989255778116863 - 0.0027726345926290257*I}
{4.000775302222831, -0.998439900112173 - 0.0037060292676824383*I}
{4.000941722091489, -0.9977711962631889 - 0.004866420535791495*I}
{4.001133490222371, -0.9968655592988125 - 0.006284597368242996*I}
{4.001353028907094, -0.9956582829750551 - 0.007989236780912814*I}
{4.001602864627732, -0.9940731341533515 - 0.010004824199728108*I}
{4.001885627097907, -0.9920219745657648 - 0.01234921372674986*I}
{4.0022040483029535, -0.9894048453191449 - 0.015030874939012898*I}
{4.002560961544007, -0.9861106256383111 - 0.018045905249798454*I}
{4.002959300490973, -0.9820183664453855 - 0.02137492133913211*I}
{4.003402098249421, -0.9769993781299239 - 0.02497997716957308*I}
{4.0038924864465315, -0.9709201197281012 - 0.028801686505979526*I}
{4.00443369434127, -0.9636458941346396 - 0.03275675114763189*I}
{4.005029047964062, -0.9550453025231592 - 0.036736108713538385*I}
{4.005681969291232, -0.9449953536847856 - 0.04060391262457054*I}
{4.006395975459594, -0.9333870644866558 - 0.04419753954468585*I}
{4.00717467802652, -0.9201313309558818 - 0.04732878486171696*I}
{4.008021782280932, -0.905164800922016 - 0.04978635525537767*I}
{4.00894108661061, -0.8884554439254663 - 0.051339701200476054*I}
{4.009936481931277, -0.8700074967521734 - 0.05174415527075405*I}
{4.0110119511828906, -0.8498654667456419 - 0.050747259668801815*I}
{4.012171568898606, -0.8281169014934541 - 0.04809608481285741*I}
{4.013419500851852, -0.8048936820772975 - 0.0435452667229283*I}
{4.014760003786985, -0.7803716652276718 - 0.036865430691246065*I}
{4.016197425238942, -0.7547685829749908 - 0.027851627607903624*I}
{4.017736203447363, -0.7283402008249741 - 0.016331391075765637*I}
{4.0193808673705815, -0.7013748303368301 - 0.00217202986435601*I}
{4.021136036804924, -0.6741863822968149 + 0.014713199015019536*I}
{4.023006422614737, -0.6471062260013992 + 0.03436033863884079*I}
{4.024996827078543, -0.620474183120495 + 0.05675163335773018*I}
{4.027112144356737, -0.5946290273477759 + 0.08181423116783526*I}
{4.029357361086243, -0.5698988814730208 + 0.1094207459501783*I}
{4.031737557107532, -0.5465919013543308 + 0.13939164824151185*I}
{4.03425790632944, -0.5249876129289277 + 0.17149936854155995*I}
