{4.0000000048799365, 1.}
{4.000000078074725, 1.}
{4.000000395217447, 0.9999999999999999}
{4.000001248923828, 0.9999999999999979}
{4.0000030486336, 0.9999999999999699}
{4.000006320389338, 0.9999999999997317}
{4.000011706553726, 0.9999999999982965}
{4.000019965466433, 0.9999999999915604}
{4.000031971042059, 0.9999999999654147 + 2.8204952049189206*^-10*I}
{4.000048712310884, 0.9999999998780058 + 8.040649847911961*^-10*I}
{4.000071292904347, 0.9999999996189819 + 2.0691209469653364*^-9*I}
{4.000100930487503, 0.9999999989241443 + 4.889330170646711*^-9*I}
{4.000138956140858, 0.9999999972100065 + 1.0746655156509392*^-8*I}
{4.000186813694302, 0.9999999932736274 + 2.218931039140711*^-8*I}
{4.0002460590160105, 0.9999999847787104 + 4.3370586796043614*^-8*I}
{4.000318359259431, 0.999999967420491 + 8.073259871472809*^-8*I}
{4.0004054920717, 0.9999999336322488 + 1.4380595660613665*^-7*I}
{4.0005093447669795, 0.9999998706705813 + 2.460466582062515*^-7*I}
{4.0006319134684505, 0.9999997579026927 + 4.055610867124785*^-7*I}
{4.000775302222831, 0.9999995631273442 + 6.454791659989805*^-7*I}
{4.000941722091489, 0.9999992378041241 + 9.936291069674472*^-7*I}
{4.001133490222371, 0.9999987111559514 + 1.4810554513410699*^-6*I}
{4.001353028907094, 0.9999978832574823 + 2.138823065600848*^-6*I}
{4.001602864627732, 0.9999966174317217 + 2.992488295189137*^-6*I}
{4.001885627097907, 0.999994732543005 + 4.053625085492239*^-6*I}
{4.0022040483029535, 0.9999919960772847 + 5.307900624140252*^-6*I}
{4.002560961544007, 0.9999881192048642 + 6.699429721137089*^-6*I}
{4.002959300490973, 0.9999827552751174 + 8.111515373306698*^-6*I}
{4.003402098249421, 0.9999755033343456 + 9.344400036228753*^-6*I}
{4.0038924864465315, 0.9999659182202835 + 0.000010091276035203754*I}
{4.00443369434127, 0.9999535285120643 + 9.914471608233108*^-6*I}
{4.005029047964062, 0.9999378630676872 + 8.224350140627768*^-6*I}
{4.005681969291232, 0.9999184860636489 + 4.263923550868615*^-6*I}
{4.006395975459594, 0.9998950394111114 - 2.897628194696868*^-6*I}
{4.00717467802652, 0.9998672902563404 - 0.000014359519480132802*I}
{4.008021782280932, 0.9998351801192207 - 0.00003136960377149607*I}
{4.00894108661061, 0.9997988712479698 - 0.000055288951748282856*I}
{4.009936481931277, 0.9997587851392266 - 0.00008754084271150182*I}
{4.0110119511828906, 0.9997156280345406 - 0.00012954593001483468*I}
{4.012171568898606, 0.9996703986503146 - 0.00018264709382650803*I}
{4.013419500851852, 0.999624374451139 - 0.00024802910633020265*I}
{4.014760003786985, 0.9995790743785584 - 0.0003266394901292014*I}
{4.016197425238942, 0.9995361979632685 - 0.00041911766301477046*I}
{4.017736203447363, 0.9994975429804881 - 0.0005257395004911259*I}
{4.0193808673705815, 0.9994649060194654 - 0.0006463837568678277*I}
{4.021136036804924, 0.9994399722845778 - 0.0007805253970434027*I}
{4.023006422614737, 0.9994242024061468 - 0.0009272589174590729*I}
{4.024996827078543, 0.9994187248432251 - 0.0010853523577283894*I}
{4.027112144356737, 0.9994242425076943 - 0.0012533301518691262*I}
{4.029357361086243, 0.9994409615088861 - 0.0014295804865028492*I}
{4.031737557107532, 0.9994685484706771 - 0.0016124806603334848*I}
{4.03425790632944, 0.9995061208395059 - 0.0018005322777510013*I}
{4.036923677737223, 0.9995522721669563 - 0.0019924971085226832*I}
{4.039740236549314, 0.9996051317320359 - 0.002187524187785168*I}
{4.042713045528288, 0.9996624552931855 - 0.002385259227647728*I}
{4.04584766645157, 0.9997217414429476 - 0.0025859286076819685*I}
{4.049149761747469, 0.9997803661621134 - 0.002790391992239732*I}
{4.05262509630221, 0.9998357268723318 - 0.0030001598297119346*I}
{4.056279539443648, 0.9998853866494397 - 0.0032173744371519577*I}
{4.060119067107526, 0.9999272093095852 - 0.0034447558682638604*I}
{4.064149764192138, 0.999959476786821 - 0.0036855161159570693*I}
{4.068377827107431, 0.99998098150603 - 0.003943247246552835*I}
{4.072809566524719, 0.9999910882020626 - 0.004221790668285096*I}
{4.077451410333255, 0.9999897617015431 - 0.004525095809370569*I}
{4.082309906810166, 0.9999775594109935 - 0.0048570769720230516*I}
{4.087391728010344, 0.9999555894856348 - 0.005221477033631636*I}
{4.0927036733831645, 0.9999254377395697 - 0.005621746020737744*I}
{4.0982526736230565, 0.9998890681718081 - 0.006060941455892883*I}
{4.104045794761242, 0.9998487034222483 - 0.00654165586930736*I}
{4.110090242506189, 0.9998066924670101 - 0.007065975091842795*I}
{4.116393366840638, 0.9997653733763432 - 0.007635469027752779*I}
{4.122962666883355, 0.999726938986278 - 0.008251214669216684*I}
{4.129805796024092, 0.9996933129030305 - 0.008913849277021494*I}
{4.136930567340654, 0.9996660424185851 - 0.00962365001532327*I}
{4.144344959307283, 0.9996462137391144 - 0.010380634976567655*I}
{4.152057121804065, 0.9996343935016124 - 0.011184679526070508*I}
{4.16007538243749, 0.9996305989730577 - 0.012035641270955317*I}
{4.168408253182765, 0.9996342976872257 - 0.012933486727410973*I}
{4.177064437359042, 0.999644435669799 - 0.013878412913080295*I}
{4.1860528369492505, 0.9996594919169437 - 0.014870957597110525*I}
{4.19538256027682, 0.9996775554977533 - 0.015912092751521494*I}
{4.205062930052235, 0.9996964206034115 - 0.01700329680386448*I}
{4.215103491803007, 0.9997136941050785 - 0.01814660252400811*I}
{4.225514022701408, 0.9997269097303614 - 0.01934461871452936*I}
{4.236304540805039, 0.9997336428296029 - 0.02060052524180873*I}
{4.247485314726133, 0.9997316198670482 - 0.021918042274373117*I}
{4.2590668737463915, 0.9997188172131262 - 0.02330137582390049*I}
{4.271060018394988, 0.9996935444959831 - 0.02475514275942045*I}
{4.283475831508457, 0.999654508647529 - 0.026284279344420892*I}
{4.296325689792119, 0.999600855800177 - 0.027893937999651043*I}
{4.309621275903861, 0.9995321893006832 - 0.02958937740366602*I}
{4.323374591082214, 0.999448563252203 - 0.0313758512030524*I}
{4.337597968341927, 0.9993504521221898 - 0.033258500520703074*I}
{4.352304086261532, 0.9992386980137015 - 0.03524225513960147*I}
{4.367505983388776, 0.9991144381486726 - 0.03733174772616025*I}
{4.383217073291287, 0.9989790159187467 - 0.03953124477301892*I}
{4.399451160281378, 0.9988338794955345 - 0.04184459712318317*I}
{4.416222455845554, 0.9986804724395245 - 0.04427521202549257*I}
{4.433545595811024, 0.9985201209958948 - 0.04682604770693509*I}
{4.4514356582834145, 0.9983539228151529 - 0.04949963047115658*I}
{4.469908182391786, 0.998182641693657 - 0.05229809338351937*I}
{4.488979187879203, 0.9980066126074129 - 0.055223234716800705*I}
{4.508665195579278, 0.9978256608317714 - 0.05827659353923411*I}
{4.528983248821485, 0.9976390383242332 - 0.06145953915399897*I}
{4.5499509358105135, 0.9974453798254475 - 0.06477337056658482*I}
{4.571586413027576, 0.9972426803349433 - 0.06821942177774638*I}
{4.593908429704415, 0.9970282947744478 - 0.07179916848293713*I}
{4.6169363534237, 0.9967989597940435 - 0.07551433170611234*I}
{4.640690196902693, 0.9965508368350044 - 0.0793669740029658*I}
{4.66519064602043, 0.996279574765934 - 0.08335958412725163*I}
