{4.0000000048799365, 0.9999999999999983}
{4.000000078074725, 0.9999999999991573 + 1.447046242137286*^-10*I}
{4.000000395217447, 0.9999999999676127 + 2.471794199773227*^-9*I}
{4.000001248923828, 0.9999999995688386 + 1.8508848848744693*^-8*I}
{4.0000030486336, 0.9999999967896942 + 8.818581742414855*^-8*I}
{4.000006320389338, 0.9999999834515614 + 3.155758329530547*^-7*I}
{4.000011706553726, 0.9999999338276704 + 9.26559989264744*^-7*I}
{4.000019965466433, 0.9999997803309014 + 2.3527167311654405*^-6*I}
{4.000031971042059, 0.9999993675686188 + 5.344280278440458*^-6*I}
{4.000048712310884, 0.9999983731723978 + 0.000011112638773108785*I}
{4.000071292904347, 0.9999961809969408 + 0.000021499276968046522*I}
{4.000100930487503, 0.9999916899778577 + 0.000039163073947861504*I}
{4.000138956140858, 0.999983040731331 + 0.0000677713057236498*I}
{4.000186813694302, 0.9999672426119639 + 0.00011217161574453647*I}
{4.0002460590160105, 0.9999396872790508 + 0.00017851291549285587*I}
{4.000318359259431, 0.9998935417564645 + 0.0002742733440924925*I}
{4.0004054920717, 0.9998190253130883 + 0.00040814418486180104*I}
{4.0005093447669795, 0.9997025907566385 + 0.0005897116372797805*I}
{4.0006319134684505, 0.9995260519079566 + 0.0008288756654491429*I}
{4.000775302222831, 0.9992657242857925 + 0.001134949196047446*I}
{4.000941722091489, 0.9988916735117691 + 0.0015153941590318226*I}
{4.001133490222371, 0.9983671925595765 + 0.0019741752888942487*I}
{4.001353028907094, 0.9976486504458143 + 0.0025097493036717296*I}
{4.001602864627732, 0.9966858660954242 + 0.003112755537641714*I}
{4.001885627097907, 0.9954231563785562 + 0.0037635316576336963*I}
{4.0022040483029535, 0.9938011817339396 + 0.004429639583070116*I}
{4.002560961544007, 0.9917596630806675 + 0.005063644541156976*I}
{4.002959300490973, 0.9892409694648147 + 0.0056014348137547664*I}
{4.003402098249421, 0.9861944805432891 + 0.005961390915501031*I}
{4.0038924864465315, 0.9825815193947722 + 0.006044701328172929*I}
{4.00443369434127, 0.9783805412073698 + 0.005737070975552477*I}
{4.005029047964062, 0.9735921670520247 + 0.00491197649809003*I}
{4.005681969291232, 0.9682435851446671 + 0.0034354932200485193*I}
{4.006395975459594, 0.9623918191084786 + 0.001172563057856096*I}
{4.00717467802652, 0.9561253938997659 - 0.002005593254306598*I}
{4.008021782280932, 0.9495640188554608 - 0.006213372322833213*I}
{4.00894108661061, 0.9428560494810151 - 0.011542570642645843*I}
{4.009936481931277, 0.9361736729202431 - 0.018054707392455027*I}
{4.0110119511828906, 0.929705967731738 - 0.025774554416390493*I}
{4.012171568898606, 0.9236501937541568 - 0.034685484971668665*I}
{4.013419500851852, 0.918201848751945 - 0.04472713206844954*I}
{4.014760003786985, 0.9135441640216396 - 0.05579567251153092*I}
{4.016197425238942, 0.9098377855167955 - 0.06774684225272581*I}
{4.017736203447363, 0.907211392108219 - 0.08040156470189659*I}
{4.0193808673705815, 0.9057539384071379 - 0.09355385961652367*I}
{4.021136036804924, 0.9055090840634451 - 0.10698051753162105*I}
{4.023006422614737, 0.9064721989056078 - 0.12045189037308052*I}
{4.024996827078543, 0.9085901322003788 - 0.13374307373484015*I}
{4.027112144356737, 0.9117637248627933 - 0.146644744239852*I}
{4.029357361086243, 0.9158528451030199 - 0.15897296374020464*I}
{4.031737557107532, 0.9206835574686503 - 0.1705773624726199*I}
{4.03425790632944, 0.9260569050496367 - 0.18134725315160907*I}
{4.036923677737223, 0.9317587023184823 - 0.19121539244963637*I}
{4.039740236549314, 0.937569704161485 - 0.20015927985777338*I}
{4.042713045528288, 0.9432755329505196 - 0.2082000519570902*I}
{4.04584766645157, 0.9486758040264697 - 0.21539918023317375*I}
{4.049149761747469, 0.9535919819881347 - 0.2218533032726336*I}
{4.05262509630221, 0.9578736153860363 - 0.22768761339025803*I}
{4.056279539443648, 0.9614027250030417 - 0.23304827072713052*I}
{4.060119067107526, 0.9640962505268067 - 0.2380943350078383*I}
{4.064149764192138, 0.9659065829668121 - 0.24298968941850946*I}
{4.068377827107431, 0.9668203182630792 - 0.24789538740261638*I}
{4.072809566524719, 0.9668554558197776 - 0.25296278779320325*I}
{4.077451410333255, 0.9660573309195678 - 0.25832776346416364*I}
{4.082309906810166, 0.9644936108801633 - 0.26410618048647416*I}
{4.087391728010344, 0.9622487019226627 - 0.2703907550685986*I}
{4.0927036733831645, 0.959417909007687 - 0.2772493099792584*I}
{4.0982526736230565, 0.9561016674301173 - 0.28472437527016653*I}
{4.104045794761242, 0.9524001265362595 - 0.29283401332056685*I}
{4.110090242506189, 0.9484083166927588 - 0.3015736976819169*I}
{4.116393366840638, 0.944212074795579 - 0.31091903991800834*I}
{4.122962666883355, 0.9398848451430971 - 0.3208291385842993*I}
{4.129805796024092, 0.9354854149703739 - 0.33125031877010985*I}
{4.136930567340654, 0.9310565903465633 - 0.3421200376580727*I}
{4.144344959307283, 0.926624770818592 - 0.3533707492748254*I}
{4.152057121804065, 0.9222003418045787 - 0.3649335476651344*I}
{4.16007538243749, 0.9177787732952384 - 0.37674143965691786*I}
{4.168408253182765, 0.913342292288043 - 0.38873213377728866*I}
{4.177064437359042, 0.9088619843926035 - 0.40085026847665906*I}
{4.1860528369492505, 0.904300176593354 - 0.4130490386270455*I}
{4.19538256027682, 0.8996129572771427 - 0.42529121261517316*I}
{4.205062930052235, 0.8947527001255141 - 0.43754956194530104*I}
{4.215103491803007, 0.8896704739867557 - 0.4498067501675772*I}
{4.225514022701408, 0.8843182399793228 - 0.4620547475838096*I}
{4.236304540805039, 0.8786507584578114 - 0.4742938523172325*I}
{4.247485314726133, 0.8726271508042547 - 0.4865314070248435*I}
{4.2590668737463915, 0.8662120831365021 - 0.49878030408643764*I}
{4.271060018394988, 0.8593765599675964 - 0.5110573710253938*I}
{4.283475831508457, 0.8520983348120705 - 0.5233817228470588*I}
{4.296325689792119, 0.8443619611225525 - 0.5357731596572529*I}
{4.309621275903861, 0.8361585203549519 - 0.5482506771264978*I}
{4.323374591082214, 0.8274850741899062 - 0.5608311448784344*I}
{4.337597968341927, 0.8183438949365947 - 0.5735281944548198*I}
{4.352304086261532, 0.808741532011901 - 0.5863513448355631*I}
{4.367505983388776, 0.7986877733423878 - 0.5993053801804407*I}
{4.383217073291287, 0.7881945588910451 - 0.6123899820241188*I}
{4.399451160281378, 0.7772748996447157 - 0.6255996070093749*I}
{4.416222455845554, 0.7659418497328606 - 0.6389235916909045*I}
{4.433545595811024, 0.7542075723243392 - 0.6523464581864955*I}
{4.4514356582834145, 0.7420825320054902 - 0.6658483885992942*I}
{4.469908182391786, 0.7295748379010473 - 0.6794058322019841*I}
{4.488979187879203, 0.7166897532483278 - 0.692992207301768*I}
{4.508665195579278, 0.7034293788210098 - 0.7065786593705241*I}
{4.528983248821485, 0.6897925098179111 - 0.7201348382526063*I}
{4.5499509358105135, 0.6757746588262027 - 0.7336296598404817*I}
{4.571586413027576, 0.6613682314226459 - 0.7470320212972638*I}
{4.593908429704415, 0.6465628360199981 - 0.7603114434529249*I}
{4.6169363534237, 0.6313457057742162 - 0.7734386191521739*I}
{4.640690196902693, 0.6157022077672356 - 0.7863858518374196*I}
{4.66519064602043, 0.5996164132508864 - 0.7991273742746413*I}
{4.69045908915222, 0.5830717024219763 - 0.8116395428584379*I}
{4.7165176478790825, 0.5660513779062467 - 0.8239009081752108*I}
{4.743389209143773, 0.5485392627434119 - 0.835892167299195*I}
{4.771097458929365, 0.5305202610510856 - 0.8475960075143175*I}
{4.799666917540904, 0.5119808625534719 - 0.858996854696707*I}
{4.829122976575547, 0.4929095756356432 - 0.8700805423904884*I}
{4.859491937671779, 0.4732972773691165 - 0.8808339196260183*I}
{4.890801053133806, 0.4531374728957951 - 0.8912444167561031*I}
{4.92307856853316, 0.4324264605095405 - 0.901299589039179*I}
{4.956353767395754, 0.41116340260340506 - 0.910986657419175*I}
{4.990657018089409, 0.3893503062359402 - 0.9202920649999244*I}
{5.026019823033938, 0.3669919203085411 - 0.9292010661640526*I}
{5.062474870363548, 0.3440955591521384 - 0.9376973632316099*I}
{5.100056088179427, 0.32067086462936667 - 0.9457628030910482*I}
{5.138798701539092, 0.29672952062072117 - 0.9533771434690557*I}
{5.178739292338363, 0.27228493495252765 - 0.9605178955434701*I}
{5.219915862251736, 0.2473519044318803 - 0.9671602465517338*I}
{5.262367898907573, 0.22194627868783376 - 0.9732770630095754*I}
{5.306136445485848, 0.19608463800426165 - 0.9788389722284697*I}
{5.351264173938383, 0.16978399930788776 - 0.9838145170955341*I}
{5.397795462044484, 0.14306156299800785 - 0.9881703766355939*I}
{5.4457764745288335, 0.11593451143625441 - 0.9918716427804091*I}
{5.495255248483457, 0.0884198677281713 - 0.9948821420800549*I}
{5.546281783351545, 0.06053442100275275 - 0.9971647898481667*I}
{5.598908135748106, 0.032294721815261426 - 0.9986819634640189*I}
{5.653188519410865, 0.003717148648532937 - 0.9993958812736846*I}
{5.709179410594539, -0.025181956145483353 - 0.9992689737389323*I}
{5.766939659242906, -0.05438608515527164 - 0.9982642341612229*I}
{5.826530606295876, -0.08387830601490298 - 0.9963455374309571*I}
{5.88801620751325, -0.11364095144928822 - 0.9934779167783125*I}
{5.951463164223291, -0.14365526968539577 - 0.9896277903795353*I}
{6.0169410614325045, -0.17390104706224632 - 0.9847631318393567*I}
{6.084522513763596, -0.20435621566019357 - 0.9788535809557324*I}
{6.154283319721427, -0.23499645930583277 - 0.9718704937000907*I}
{6.226302624822175, -0.2657948313734254 - 0.9637869329326082*I}
{6.3006630941590815, -0.29672139739148723 - 0.9545776039328226*I}
{6.377451095019287, -0.32774291458302046 - 0.944218741275612*I}
{6.456756890210663, -0.358822559143169 - 0.9326879558373306*I}
{6.538674842805442, -0.3899197103265685 - 0.9199640526967157*I}
{6.623303633059188, -0.42098979832994887 - 0.9060268323263513*I}
{6.71074648831955, -0.4519842205782091 - 0.8908568886878026*I}
{6.801111426799643, -0.4828503284305947 - 0.8744354185926375*I}
{6.894511516156303, -0.5135314836043423 - 0.8567440569308715*I}
{6.991065147884113, -0.5439671808610114 - 0.8377647520711947*I}
{7.090896328612731, -0.5740932308164345 - 0.8174796948933918*I}
{7.19413498947795, -0.6038419942227398 - 0.7958713135302273*I}
{7.300917314826844, -0.6331426568344476 - 0.7729223440001387*I}
{7.411386091614829, -0.6619215321113949 - 0.7486159845491046*I}
{7.525691080958282, -0.6901023776238333 - 0.7229361387551467*I}
{7.643989413421201, -0.7176067101939153 - 0.6958677493659423*I}
{7.766446009739145, -0.7443541046034247 - 0.667397221540349*I}
{7.893234028819334, -0.7702624611728881 - 0.6375129307651931*I}
{8.02453534500327, -0.7952482287038107 - 0.6062058073491837*I}
{8.160541056738749, -0.8192265711810224 - 0.5734699861953398*I}
{8.301452028982906, -0.842111469236102 - 0.5393035076659695*I}
{8.447479471848409, -0.8638157506264107 - 0.5037090529241206*I}
{8.598845558212473, -0.8842510478075851 - 0.46669469530099694*I}
{8.755784083234927, -0.9033276849596864 - 0.42827464812655514*I}
{8.91854116897881, -0.9209545014277284 - 0.38846998917821113*I}
{9.087376017597062, -0.9370386232873013 - 0.34730934253248585*I}
{9.262561716844106, -0.9514851994525932 - 0.3048295001962411*I}
{9.44438610199409, -0.9641971231954808 - 0.2610759684585168*I}
{9.633152678601, -0.975074763916801 - 0.21610342740650876*I}
{9.829181610923012, -0.984015737277308 - 0.16997609640571484*I}
{10.03281078125784, -0.9909147441357707 - 0.1227680034173307*I}
{10.244396925901311, -0.9956635099529872 - 0.0745631616236407*I}
{10.464316853952305, -0.998150856231581 - 0.025455662708891425*I}
{10.692968755748447, -0.9982629340444384 + 0.024450297996311304*I}
{10.930773608333974, -0.9958836466883898 + 0.07504044379266611*I}
{11.178176686039809, -0.9908952839821826 + 0.12619046081550706*I}
{11.435649185003339, -0.9831793847868413 + 0.17776603499816596*I}
{11.703689971278598, -0.9726178371282462 + 0.22962285046197617*I}
{11.982827463095685, -0.959094217105392 + 0.2816065177013782*I}
{12.273621658830141, -0.9424953589257293 + 0.3335524018276345*I}
{12.576666323349887, -0.922713139361566 + 0.38528532547604516*I}
{12.892591346630734, -0.8996464511848526 + 0.4366191279251461*I}
{13.22206528988512, -0.8732033322845382 + 0.4873560715545054*I}
{13.565798135947665, -0.8433032108031985 + 0.5372860988653095*I}
{13.924544262322435, -0.8098792223445722 + 0.5861859576229563*I}
{14.299105657139636, -0.7728805536500412 + 0.6338182277916902*I}
{14.69033540031576, -0.7322747685730838 + 0.6799303011729997*I}
{15.099141434485125, -0.6880500770008537 + 0.7242533822116303*I}
{15.526490652800511, -0.6402175156832425 + 0.7665015953210506*I}
{15.9734133335172, -0.5888130215795214 + 0.8063712992117231*I}
{16.441007954414125, -0.5338993928684389 + 0.8435407209227535*I}
{16.930446423608338, -0.4755681494033592 + 0.8776700304051558*I}
{17.442979767230547, -0.4139413219933707 + 0.9084019795122933*I}
{17.979944318802545, -0.34917321697435216 + 0.9353632262265464*I}
{18.542768460051175, -0.28145221731218034 + 0.958166455273353*I}
{19.132979968376496, -0.21100269192454177 + 0.9764133897000898*I}
{19.75221403234103, -0.13808708885305856 + 0.9896987647440701*I}
{20.40222200345161, -0.06300828320423041 + 0.9976153061249424*I}
