{4.0000000048799365, 0.9999999999999987}
{4.000000078074725, 0.9999999999999966}
{4.000000395217447, 0.9999999999999463}
{4.000001248923828, 0.999999999999476}
{4.0000030486336, 0.9999999999968845 - 3.735037705220657*^-10*I}
{4.000006320389338, 0.9999999999866145 - 1.1150138802153653*^-9*I}
{4.000011706553726, 0.9999999999540863 - 2.8109504637355407*^-9*I}
{4.000019965466433, 0.9999999998664684 - 6.2617811099031666*^-9*I}
{4.000031971042059, 0.9999999996576558 - 1.2691538594285375*^-8*I}
{4.000048712310884, 0.9999999992054456 - 2.387685394026321*^-8*I}
{4.000071292904347, 0.9999999982986224 - 4.229383187602395*^-8*I}
{4.000100930487503, 0.9999999965914323 - 7.128339438290401*^-8*I}
{4.000138956140858, 0.9999999935427036 - 1.1523601104232433*^-7*I}
{4.000186813694302, 0.9999999883367164 - 1.7979709374074852*^-7*I}
{4.0002460590160105, 0.9999999797828086 - 2.720947600505688*^-7*I}
{4.000318359259431, 0.999999966190668 - 4.009921642126298*^-7*I}
{4.0004054920717, 0.9999999452183057 - 5.773671544581977*^-7*I}
{4.0005093447669795, 0.9999999136898539 - 8.144226346934976*^-7*I}
{4.0006319134684505, 0.9999998673805945 - 1.1280316779981943*^-6*I}
{4.000775302222831, 0.9999998007670313 - 1.5371221455265185*^-6*I}
{4.000941722091489, 0.9999997067403713 - 2.0641062892437626*^-6*I}
{4.001133490222371, 0.9999995762825108 - 2.7353615375233438*^-6*I}
{4.001353028907094, 0.9999993981045331 - 3.5817693507907296*^-6*I}
{4.001602864627732, 0.9999991582488296 - 4.639319656635721*^-6*I}
{4.001885627097907, 0.9999988396572695 - 5.9497888914478905*^-6*I}
{4.0022040483029535, 0.9999984217093477 - 7.561500045220241*^-6*I}
{4.002560961544007, 0.9999978797359479 - 9.530173280259972*^-6*I}
{4.002959300490973, 0.9999971845162374 - 0.000011919875622814975*I}
{4.003402098249421, 0.9999963017672355 - 0.00001480407785742684*I}
{4.0038924864465315, 0.9999951916377402 - 0.000018266826036194697*I}
{4.00443369434127, 0.9999938082204889 - 0.0000224040339012321*I}
{4.005029047964062, 0.9999920990986183 - 0.00002732490096651799*I}
{4.005681969291232, 0.999990004944589 - 0.000033153458982278446*I}
{4.006395975459594, 0.9999874591916641 - 0.00004003024699065413*I}
{4.00717467802652, 0.9999843877996794 - 0.000048114112171276635*I}
{4.008021782280932, 0.9999807091381029 - 0.000057584130184267164*I}
{4.00894108661061, 0.9999763340101453 - 0.00006864163478300244*I}
{4.009936481931277, 0.9999711658418343 - 0.00008151234215117106*I}
{4.0110119511828906, 0.9999651010593977 - 0.00009644855080552277*I}
{4.012171568898606, 0.9999580296769214 - 0.00011373139311094665*I}
{4.013419500851852, 0.999949836113967 - 0.00013367310961704613*I}
{4.014760003786985, 0.9999404002596186 - 0.00015661931270694404*I}
{4.016197425238942, 0.9999295987952209 - 0.00018295120163004807*I}
{4.017736203447363, 0.9999173067829181 - 0.00021308768706430217*I}
{4.0193808673705815, 0.9999033995210218 - 0.00024748738011919026*I}
{4.021136036804924, 0.9998877546603419 - 0.0002866503983449703*I}
{4.023006422614737, 0.9998702545680267 - 0.00033111994004093257*I}
{4.024996827078543, 0.9998507889173571 - 0.0003814835781189726*I}
{4.027112144356737, 0.999829257473542 - 0.0004383742261104562*I}
{4.029357361086243, 0.999805573037103 - 0.0005024707316964198*I}
{4.031737557107532, 0.9997796644981906 - 0.0005744980574385432*I}
{4.03425790632944, 0.9997514799474203 - 0.0006552270141832588*I}
{4.036923677737223, 0.9997209897818318 - 0.000745473519840104*I}
{4.039740236549314, 0.9996881897386385 - 0.0008460973647778863*I}
{4.042713045528288, 0.9996531037847879 - 0.0009580004747642334*I}
{4.04584766645157, 0.999615786787218 - 0.0010821246729725567*I}
{4.049149761747469, 0.9995763268872362 - 0.0012194489538310067*I}
{4.05262509630221, 0.9995348475027899 - 0.0013709862930949273*I}
{4.056279539443648, 0.9994915088845961 - 0.0015377800301719187*I}
{4.060119067107526, 0.9994465091561597 - 0.0017208998700937214*I}
{4.064149764192138, 0.9994000847735701 - 0.0019214375632936713*I}
{4.068377827107431, 0.9993525103485056 - 0.0021405023312117415*I}
{4.072809566524719, 0.9993040977869295 - 0.0023792161144389748*I}
{4.077451410333255, 0.9992551947063094 - 0.0026387087273951246*I}
{4.082309906810166, 0.999206182105578 - 0.0029201130092185936*I}
{4.087391728010344, 0.9991574712742158 - 0.00322456006449778*I}
{4.0927036733831645, 0.9991094999394607 - 0.003553174689602198*I}
{4.0982526736230565, 0.9990627276634605 - 0.0039070710806480375*I}
{4.104045794761242, 0.9990176305148784 - 0.004287348917575449*I}
{4.110090242506189, 0.998974695051769 - 0.0046950899154905015*I}
{4.116393366840638, 0.9989344116642103 - 0.005131354929442517*I}
{4.122962666883355, 0.9988972673359824 - 0.005597181692312025*I}
{4.129805796024092, 0.9988637378943374 - 0.006093583257649238*I}
{4.136930567340654, 0.99883427982545 - 0.006621547210321956*I}
{4.144344959307283, 0.9988093217403687 - 0.007182035697913202*I}
{4.152057121804065, 0.9987892555821098 - 0.0077759863251669935*I}
{4.16007538243749, 0.9987744276689263 - 0.008404313942629974*I}
{4.168408253182765, 0.9987651296717162 - 0.009067913349185816*I}
{4.177064437359042, 0.9987615896250429 - 0.009767662916626488*I}
{4.1860528369492505, 0.9987639630713689 - 0.010504429132933153*I}
{4.19538256027682, 0.9987723244369175 - 0.011279072049715731*I}
{4.205062930052235, 0.9987866587351791 - 0.01209245160843015*I}
