{4.0000000048799365, 0.9999999999999521}
{4.000000078074725, 0.9999999999977786 + 1.0291080706349863*^-9*I}
{4.000000395217447, 0.9999999999440465 + 1.1720431302452427*^-8*I}
{4.000001248923828, 0.9999999994416051 + 6.583814530460163*^-8*I}
{4.0000030486336, 0.9999999966731504 + 2.5107198883253317*^-7*I}
{4.000006320389338, 0.9999999857022519 + 7.493690031182025*^-7*I}
{4.000011706553726, 0.9999999509574068 + 1.8885308147104832*^-6*I}
{4.000019965466433, 0.9999998573814135 + 4.204817117386828*^-6*I}
{4.000031971042059, 0.9999996344149124 + 8.516111545716236*^-6*I}
{4.000048712310884, 0.9999991516911316 + 0.000016004975527972646*I}
{4.000071292904347, 0.9999981840590831 + 0.00002831061401476936*I}
{4.000100930487503, 0.9999963633380311 + 0.00004762839719131308*I}
{4.000138956140858, 0.9999931140534739 + 0.00007681511997033952*I}
{4.000186813694302, 0.9999875703337147 + 0.00011949763527196283*I}
{4.0002460590160105, 0.9999784711788064 + 0.00018018187135055179*I}
{4.000318359259431, 0.9999640314750181 + 0.0002643585468453041*I}
{4.0004054920717, 0.9999417864441464 + 0.0003786011456682825*I}
{4.0005093447669795, 0.9999084077142804 + 0.00053065093099301*I}
{4.0006319134684505, 0.9998594899015291 + 0.0007294829959167323*I}
{4.000775302222831, 0.9997893075213283 + 0.0009853466096489203*I}
{4.000941722091489, 0.9996905432170848 + 0.0013097724736071147*I}
{4.001133490222371, 0.9995539897071535 + 0.0017155390117562248*I}
{4.001353028907094, 0.9993682294994235 + 0.0022165895515359525*I}
{4.001602864627732, 0.9991192982806123 + 0.0028278922783650908*I}
{4.001885627097907, 0.9987903399098638 + 0.0035652352418643197*I}
{4.0022040483029535, 0.9983612630667731 + 0.004444949525891629*I}
{4.002560961544007, 0.9978084117329885 + 0.0054835550279373*I}
{4.002959300490973, 0.9971042637120322 + 0.006697325170571375*I}
{4.003402098249421, 0.9962171731817973 + 0.008101769308730876*I}
{4.0038924864465315, 0.9951111746808601 + 0.009711034590627764*I}
{4.00443369434127, 0.9937458667978237 + 0.011537232528037253*I}
{4.005029047964062, 0.9920763940086599 + 0.013589699442013058*I}
{4.005681969291232, 0.9900535444503799 + 0.015874204135906365*I}
{4.006395975459594, 0.9876239798172672 + 0.01839212042817063*I}
{4.00717467802652, 0.9847306109459895 + 0.021139586333200077*I}
{4.008021782280932, 0.9813131289994197 + 0.024106675460477317*I}
{4.00894108661061, 0.9773086975112636 + 0.02727660934628317*I}
{4.009936481931277, 0.972652805030679 + 0.03062504167598966*I}
{4.0110119511828906, 0.9672802718962907 + 0.034119446458604846*I}
{4.012171568898606, 0.9611263980282784 + 0.037718641982104444*I}
{4.013419500851852, 0.9541282318679678 + 0.04137248067466409*I}
{4.014760003786985, 0.9462259340683248 + 0.04502173176953523*I}
{4.016197425238942, 0.9373642036145082 + 0.04859817895763502*I}
{4.017736203447363, 0.9274937290910134 + 0.05202494914552631*I}
{4.0193808673705815, 0.9165726241350697 + 0.055217081243668066*I}
{4.021136036804924, 0.9045678039880725 + 0.05808233589849957*I}
{4.023006422614737, 0.8914562596587352 + 0.06052223862306369*I}
{4.024996827078543, 0.8772261876266181 + 0.062433340284348826*I}
{4.027112144356737, 0.861877936220713 + 0.06370867079232992*I}
{4.029357361086243, 0.8454247346785546 + 0.06423935450915912*I}
{4.031737557107532, 0.8278931772051668 + 0.0639163497156763*I}
{4.03425790632944, 0.8093234418073151 + 0.06263226972712005*I}
{4.036923677737223, 0.7897692319188787 + 0.06028324014640901*I}
{4.039740236549314, 0.7692974374672866 + 0.05677074539246043*I}
{4.042713045528288, 0.7479875206622127 + 0.05200341805613681*I}
{4.04584766645157, 0.7259306400379263 + 0.04589872673827417*I}
{4.049149761747469, 0.7032285338117291 + 0.03838452165175344*I}
{4.05262509630221, 0.6799921901516761 + 0.0294004021954192*I}
{4.056279539443648, 0.6563403372646319 + 0.018898876656880823*I}
{4.060119067107526, 0.6323977901823232 + 0.006846290871069386*I}
{4.064149764192138, 0.608293693674697 - 0.0067764902593690935*I}
{4.068377827107431, 0.5841597018631518 - 0.021973657289267024*I}
{4.072809566524719, 0.5601281349098053 - 0.03873428869343553*I}
{4.077451410333255, 0.5363301517430132 - 0.05703243655592562*I}
{4.082309906810166, 0.5128939753030807 - 0.07682745478607048*I}
{4.087391728010344, 0.48994320344114217 - 0.09806455393665288*I}
{4.0927036733831645, 0.4675952345781824 - 0.12067556234310275*I}
{4.0982526736230565, 0.4459598327327187 - 0.14457986987125818*I}
{4.104045794761242, 0.4251378517506012 - 0.1696855280690656*I}
{4.110090242506189, 0.4052201337001998 - 0.19589047894163797*I}
{4.116393366840638, 0.3862865915922839 - 0.22308388385563466*I}
{4.122962666883355, 0.3684054819836619 - 0.25114752415048053*I}
{4.129805796024092, 0.3516328687387763 - 0.27995724579605974*I}
{4.136930567340654, 0.3360122753392888 - 0.3093844217842621*I}
{4.144344959307283, 0.3215745197081536 - 0.33929740776546835*I}
{4.152057121804065, 0.3083377225880386 - 0.36956296863133586*I}
{4.16007538243749, 0.2963074780993769 - 0.40004765619698357*I}
{4.168408253182765, 0.2854771731978423 - 0.4306191207512057*I}
{4.177064437359042, 0.27582844133663653 - 0.4611473419346611*I}
{4.1860528369492505, 0.2673317346858688 - 0.49150576709618404*I}
{4.19538256027682, 0.2599469987308987 - 0.5215723479013287*I}
{4.205062930052235, 0.25362443291925507 - 0.5512304684718393*I}
{4.215103491803007, 0.24830532120359006 - 0.5803697606783172*I}
{4.225514022701408, 0.24392291678669004 - 0.6088868043602086*I}
{4.236304540805039, 0.24040336606487334 - 0.6366857121865214*I}
{4.247485314726133, 0.23766665764101447 - 0.6636786005853081*I}
{4.2590668737463915, 0.2356275832936914 - 0.6897859496554114*I}
{4.271060018394988, 0.23419669890394987 - 0.7149368562320649*I}
{4.283475831508457, 0.23328127451944164 - 0.7390691853156345*I}
{4.296325689792119, 0.23278622394514017 - 0.7621296259010583*I}
{4.309621275903861, 0.23261500546283745 - 0.7840736578783986*I}
{4.323374591082214, 0.23267048647493346 - 0.8048654371284483*I}
{4.337597968341927, 0.23285576602257188 - 0.8244776062289668*I}
{4.352304086261532, 0.23307495022878974 - 0.8428910383349058*I}
{4.367505983388776, 0.2332338767524414 - 0.860094521818092*I}
{4.383217073291287, 0.23324078529984285 - 0.8760843931660536*I}
{4.399451160281378, 0.23300693212281254 - 0.8908641254631224*I}
{4.416222455845554, 0.23244714723095466 - 0.904443879525745*I}
{4.433545595811024, 0.23148033376164076 - 0.9168400244530859*I}
{4.4514356582834145, 0.23002990958392544 - 0.9280746339972219*I}
{4.469908182391786, 0.22802419176474825 - 0.9381749647668944*I}
{4.488979187879203, 0.2253967250005194 - 0.9471729218659142*I}
{4.508665195579278, 0.22208655551872866 - 0.9551045171415865*I}
{4.528983248821485, 0.21803845228735755 - 0.9620093247882878*I}
{4.5499509358105135, 0.21320307763985993 - 0.967929938623706*I}
{4.571586413027576, 0.20753710963580585 - 0.9729114349361794*I}
{4.593908429704415, 0.20100331863758383 - 0.9770008443958995*I}
{4.6169363534237, 0.19357060069744034 - 0.9802466361343256*I}
{4.640690196902693, 0.18521397042210902 - 0.9826982167279628*I}
{4.66519064602043, 0.1759145160196731 - 0.9844054464768227*I}
{4.69045908915222, 0.16565931924018004 - 0.9854181750458723*I}
{4.7165176478790825, 0.1544413429026708 - 0.9857857982403891*I}
{4.743389209143773, 0.14225928866114562 - 0.9855568374136833*I}
{4.771097458929365, 0.12911742760466513 - 0.9847785427579365*I}
{4.799666917540904, 0.11502540621602242 - 0.9834965215054089*I}
{4.829122976575547, 0.09999803013259363 - 0.9817543918671054*I}
{4.859491937671779, 0.08405502806510058 - 0.9795934633580675*I}
{4.890801053133806, 0.06722079813776322 - 0.9770524440014462*I}
{4.92307856853316, 0.049524138819010875 - 0.9741671747659678*I}
{4.956353767395754, 0.030997966517563154 - 0.9709703914717477*I}
{4.990657018089409, 0.011679021825986943 - 0.9674915142960135*I}
{5.026019823033938, -0.008392433695799232 - 0.9637564649214923*I}
{5.062474870363548, -0.029172928390013366 - 0.9597875112943063*I}
{5.100056088179427, -0.05061609729670787 - 0.9556031398935457*I}
{5.138798701539092, -0.07267300322334953 - 0.9512179553595872*I}
{5.178739292338363, -0.09529246050410162 - 0.9466426072811126*I}
{5.219915862251736, -0.11842135992616756 - 0.9418837439001029*I}
{5.262367898907573, -0.14200499335535108 - 0.9369439924583483*I}
{5.306136445485848, -0.1659873766410543 - 0.9318219658768306*I}
{5.351264173938383, -0.19031156942242408 - 0.926512295429335*I}
{5.397795462044484, -0.21491999049253568 - 0.9210056890425984*I}
{5.4457764745288335, -0.2397547274067582 - 0.9152890148260042*I}
{5.495255248483457, -0.2647578390452513 - 0.909345409403186*I}
{5.546281783351545, -0.28987164985847236 - 0.9031544105848953*I}
{5.598908135748106, -0.3150390345392777 - 0.8966921138861645*I}
{5.653188519410865, -0.3402036918764057 - 0.8899313523503111*I}
{5.709179410594539, -0.3653104065526382 - 0.882841899096881*I}
{5.766939659242906, -0.3903052976576044 - 0.8753906919595429*I}
{5.826530606295876, -0.41513605269095577 - 0.8675420795225716*I}
{5.88801620751325, -0.4397521458374794 - 0.8592580878003874*I}
{5.951463164223291, -0.4641050393026805 - 0.8504987067331736*I}
{6.0169410614325045, -0.4881483665065548 - 0.841222195592522*I}
{6.084522513763596, -0.5118380959458377 - 0.8313854063040744*I}
{6.154283319721427, -0.5351326745521792 - 0.8209441235990619*I}
{6.226302624822175, -0.5579931493967003 - 0.8098534208034024*I}
{6.3006630941590815, -0.5803832666215608 - 0.7980680299616504*I}
{6.377451095019287, -0.6022695465178552 - 0.7855427248737247*I}
{6.456756890210663, -0.6236213337177631 - 0.7722327154952651*I}
{6.538674842805442, -0.6444108215288447 - 0.7580940520180841*I}
{6.623303633059188, -0.6646130495111611 - 0.7430840368060518*I}
{6.71074648831955, -0.6842058734850122 - 0.7271616422146004*I}
{6.801111426799643, -0.7031699072600189 - 0.7102879321697568*I}
{6.894511516156303, -0.7214884354965538 - 0.6924264852262946*I}
{6.991065147884113, -0.7391472972496212 - 0.6735438166655332*I}
{7.090896328612731, -0.7561347399046854 - 0.6536097970330106*I}
{7.19413498947795, -0.7724412433960316 - 0.6325980643564747*I}
{7.300917314826844, -0.7880593148023661 - 0.6104864271273611*I}
{7.411386091614829, -0.8029832536427196 - 0.5872572549764358*I}
{7.525691080958282, -0.8172088884494009 - 0.5628978538291034*I}
{7.643989413421201, -0.8307332854746442 - 0.5374008221908669*I}
{7.766446009739145, -0.8435544306943678 - 0.5107643850916906*I}
{7.893234028819334, -0.8556708866065154 - 0.48299270211300854*I}
{8.02453534500327, -0.8670814256828409 - 0.45409614583657376*I}
{8.160541056738749, -0.8777846427214031 - 0.4240915469943021*I}
{8.301452028982906, -0.8877785487616795 - 0.3930024025670587*I}
{8.447479471848409, -0.8970601496637827 - 0.3608590430825719*I}
{8.598845558212473, -0.9056250129158747 - 0.3276987554031905*I}
{8.755784083234927, -0.9134668267169338 - 0.2935658573780793*I}
{8.91854116897881, -0.920576955882203 - 0.25851172086689966*I}
{9.087376017597062, -0.9269439996317501 - 0.22259473982835673*I}
{9.262561716844106, -0.9325533568434748 - 0.18588024041254844*I}
{9.44438610199409, -0.9373868048744818 - 0.14844033030608866*I}
{9.633152678601, -0.9414220985717628 - 0.11035368495856263*I}
{9.829181610923012, -0.9446325965961989 - 0.07170526877277364*I}
{10.03281078125784, -0.946986922663358 - 0.0325859898737346*I}
{10.244396925901311, -0.9484486697495015 + 0.006907712313907002*I}
{10.464316853952305, -0.9489761557093499 + 0.04667434675054592*I}
{10.692968755748447, -0.9485222390899101 + 0.08660791701237107*I}
{10.930773608333974, -0.9470342041870898 + 0.12659853247837277*I}
{11.178176686039809, -0.9444537245627175 + 0.16653308192387542*I}
{11.435649185003339, -0.9407169143015409 + 0.20629596592779062*I}
{11.703689971278598, -0.9357544762223327 + 0.24576988337963243*I}
{11.982827463095685, -0.929491956045041 + 0.2848366661806237*I}
{12.273621658830141, -0.9218501111370413 + 0.3233781549812215*I}
{12.576666323349887, -0.9127454018956807 + 0.36127710749841563*I}
{12.892591346630734, -0.9020906130513012 + 0.39841812962686773*I}
{13.22206528988512, -0.8897956111751435 + 0.4346886182186343*I}
{13.565798135947665, -0.8757682434314744 + 0.4699797030809581*I}
{13.924544262322435, -0.859915381106237 + 0.5041871744585517*I}
{14.299105657139636, -0.8421441096612793 + 0.537212381058174*I}
{14.69033540031576, -0.8223630649929412 + 0.5689630825754914*I}
{15.099141434485125, -0.800483913209919 + 0.5993542397376201*I}
{15.526490652800511, -0.7764229685866063 + 0.6283087241235691*I}
{15.9734133335172, -0.7501029413996413 + 0.655757929516609*I}
{16.441007954414125, -0.7214548041297401 + 0.6816422663277886*I}
{16.930446423608338, -0.6904197610292971 + 0.7059115207607788*I}
{17.442979767230547, -0.6569513023496475 + 0.7285250609183289*I}
{17.979944318802545, -0.6210173206321818 + 0.7494518730329018*I}
{18.542768460051175, -0.5826022624483923 + 0.7686704124897099*I}
{19.132979968376496, -0.541709284891846 + 0.786168256346876*I}
{19.75221403234103, -0.4983623820598725 + 0.8019415466864233*I}
{20.40222200345161, -0.45260844280795837 + 0.8159942173847033*I}
