{4.013419500851852, 0.5384190586890046 - 0.8403300797425315*I}
{4.014760003786985, 0.5287356688091507 - 0.8476209295145812*I}
{4.016197425238942, 0.5188626436933867 - 0.8544738192292148*I}
{4.017736203447363, 0.5087592689589401 - 0.8609088257465513*I}
{4.0193808673705815, 0.49838927326008836 - 0.8669533622398078*I}
{4.021136036804924, 0.48772221825397993 - 0.8726412664226163*I}
{4.023006422614737, 0.47673466618422944 - 0.8780116171869047*I}
{4.024996827078543, 0.46541107161545797 - 0.8831073369461805*I}
{4.027112144356737, 0.45374435942330793 - 0.8879736471316997*I}
{4.029357361086243, 0.44173616838320573 - 0.8926564500582433*I}
{4.031737557107532, 0.4293967573590207 - 0.8972007116309187*I}
{4.03425790632944, 0.41674458799133923 - 0.9016489163219582*I}
{4.036923677737223, 0.4038056129068239 - 0.9060396590180834*I}
{4.039740236549314, 0.390612311022844 - 0.9104064284545239*I}
{4.042713045528288, 0.37720252097339174 - 0.9147766248755429*I}
{4.04584766645157, 0.3636181297688494 - 0.9191708412082551*I}
{4.049149761747469, 0.34990367650974946 - 0.923602423297081*I}
{4.05262509630221, 0.33610493050545825 - 0.9280773114254021*I}
{4.056279539443648, 0.3222674998745618 - 0.9325941531245593*I}
{4.060119067107526, 0.3084355211146976 - 0.9371446666584694*I}
{4.064149764192138, 0.29465047278279133 - 0.9417142259297089*I}
{4.068377827107431, 0.2809501478996863 - 0.9462826310736147*I}
{4.072809566524719, 0.2673678105445842 - 0.9508250247380342*I}
{4.077451410333255, 0.2539315528437201 - 0.9553129119106617*I}
{4.082309906810166, 0.24066385962268902 - 0.959715240977852*I}
{4.087391728010344, 0.22758137973805154 - 0.9639995052316922*I}
{4.0927036733831645, 0.2146948957985107 - 0.968132826994249*I}
{4.0982526736230565, 0.202009477809882 - 0.9720829905863632*I}
{4.104045794761242, 0.18952480133196253 - 0.97581939521893*I}
{4.110090242506189, 0.1772356070494198 - 0.9793139042278656*I}
{4.116393366840638, 0.16513227620411058 - 0.982541572637078*I}
{4.122962666883355, 0.15320149503720412 - 0.9854812405784736*I}
{4.129805796024092, 0.1414269811358833 - 0.9881159854250652*I}
{4.136930567340654, 0.12979024523768576 - 0.9904334304439707*I}
{4.144344959307283, 0.11827136346893326 - 0.992425912231683*I}
{4.152057121804065, 0.10684973703071524 - 0.994090513072997*I}
{4.16007538243749, 0.09550481884737028 - 0.9954289676196747*I}
{4.168408253182765, 0.08421678951685971 - 0.9964474558968265*I}
{4.177064437359042, 0.07296716791997558 - 0.9971562966202271*I}
{4.1860528369492505, 0.06173934494030289 - 0.997569556172272*I}
{4.19538256027682, 0.050519031819299016 - 0.9977045893791844*I}
{4.205062930052235, 0.039294617637044234 - 0.9975815285096364*I}
{4.215103491803007, 0.028057433201516768 - 0.9972227367346728*I}
{4.225514022701408, 0.016801921195360295 - 0.9966522417143443*I}
{4.236304540805039, 0.005525714730970108 - 0.9958951640727874*I}
{4.247485314726133, -0.005770371522897602 - 0.9949771543547968*I}
{4.2590668737463915, -0.01708243177078983 - 0.9939238506849192*I}
{4.271060018394988, -0.028403633802816915 - 0.9927603678325829*I}
{4.283475831508457, -0.03972444961783378 - 0.9915108267768855*I}
{4.296325689792119, -0.0510329427805901 - 0.9901979322102076*I}
{4.309621275903861, -0.06231510280726783 - 0.9888426037629315*I}
{4.323374591082214, -0.07355521660171808 - 0.987463665108655*I}
{4.337597968341927, -0.0847362669260791 - 0.9860775935510937*I}
{4.352304086261532, -0.09584034805932766 - 0.9846983312256359*I}
{4.367505983388776, -0.10684908914963664 - 0.9833371576902719*I}
{4.383217073291287, -0.11774407627478492 - 0.9820026224476299*I}
{4.399451160281378, -0.12850726486314618 - 0.980700534842921*I}
{4.416222455845554, -0.13912137487057524 - 0.9794340078285831*I}
{4.433545595811024, -0.1495702619315527 - 0.978203551278656*I}
{4.4514356582834145, -0.15983925858341994 - 0.977007209874629*I}
{4.469908182391786, -0.1699154805792765 - 0.9758407400673085*I}
{4.488979187879203, -0.17978809423877373 - 0.974697820241462*I}
{4.508665195579278, -0.18944854171918438 - 0.9735702879651418*I}
{4.528983248821485, -0.19889072200627242 - 0.9724483980856643*I}
{4.5499509358105135, -0.20811112631209783 - 0.971321095430095*I}
{4.571586413027576, -0.21710892741335633 - 0.9701762959697576*I}
{4.593908429704415, -0.22588602325941864 - 0.9690011705051854*I}
{4.6169363534237, -0.2344470359159175 - 0.9677824252091493*I}
{4.640690196902693, -0.24279926758122175 - 0.9665065737198867*I}
{4.66519064602043, -0.25095261601467955 - 0.9651601958934359*I}
{4.69045908915222, -0.2589194522437846 - 0.963730178792269*I}
{4.7165176478790825, -0.26671446387039854 - 0.9622039359967657*I}
{4.743389209143773, -0.27435446767300237 - 0.9605696018664848*I}
{4.771097458929365, -0.2818581955028409 - 0.9588161979401556*I}
{4.799666917540904, -0.2892460576978823 - 0.9569337692379584*I}
{4.829122976575547, -0.2965398883916337 - 0.954913488808665*I}
{4.859491937671779, -0.3037626771766222 - 0.9527477294399711*I}
{4.890801053133806, -0.3109382915979118 - 0.9504301020158638*I}
{4.92307856853316, -0.318091194904001 - 0.9479554605538454*I}
{4.956353767395754, -0.3252461633748308 - 0.9453198744816101*I}
{4.990657018089409, -0.33242800738372186 - 0.9425205692123135*I}
{5.026019823033938, -0.3396613001363723 - 0.9395558365454932*I}
{5.062474870363548, -0.34697011777026443 - 0.9364249168531493*I}
{5.100056088179427, -0.3543777941967454 - 0.933127855404199*I}
{5.138798701539092, -0.3619066937305138 - 0.9296653355327307*I}
{5.178739292338363, -0.3695780041821531 - 0.9260384916639043*I}
{5.219915862251736, -0.3774115526935846 - 0.9222487054741614*I}
{5.262367898907573, -0.38542564617873826 - 0.9182973886781954*I}
{5.306136445485848, -0.39363693779717973 - 0.9141857561028719*I}
{5.351264173938383, -0.40206032044168644 - 0.9099145928273007*I}
{5.397795462044484, -0.4107088477665462 - 0.9054840192382383*I}
{5.4457764745288335, -0.4195936828263675 - 0.9008932578708957*I}
