{3., 0.8208225431070154}
{3.5, 0.6774112129287745}
{4., 0.49876016403912093}
{4.5, 0.2606655749598303}
{5., 0.10953078376969531}
{5.5, 0.03497282806131924}
{6., 0.0063126699706777265}
{6.5, 0.00012927426434938214}
{7., 9.940498424581998*^-7}
{7.5, 6.09185600692648*^-9}
{8., 0.}
{8.5, 0.}
{9., 0.}
{9.5, 0.}
{10., 0.}
{12., 0.}
