{1.`32., 1.723199821398238*^-8}
{2.`32., 0.0001966720615563193}
{3.`32., 0.0014045745866911638}
{4.`32., -3.344724513418672*^18}
{5.`32., 0.010192636757594192}
{6.`32., 0.014226124573215366}
{7.`32., 0.01932704152758978}
{8.`32., 0.029754780586149093}
{9.`32., 0.04878177507486139}
{10.`32., 0.07694394398864147}
{11.`32., 0.13408276244281253}
{12.`32., 0.16151259555818395}
{13.`32., 0.26395534812780885}
{14.`32., 0.32290207291669154}
{15.`32., 0.499061045615394}
{16.`32., 0.6988206154505542}
{17.`32., 0.8620337065547014}
{18.`32., 1.0055533647341297}
{19.`32., 0.9269478850703678}
