{1.`32., 9.739893065200308*^-11}
{2.`32., 9.157637815219855*^-6}
{3.`32., 0.0002907740347609795}
{4.`32., 0.003466143406562713}
{5.`32., 0.015215541027103447}
{6.`32., 0.13390738317652542}
{7.`32., 0.6981221038043425}
{8.`32., 1.7356296933993298}
{9.`32., 3.0236335153240836}
{10.`32., 7.216579790198132}
{11.`32., 11.145153444605802}
{12.`32., 14.07809685976131}
{13.`32., 17.297829236674247}
{14.`32., 21.88363135692294}
{15.`32., 28.19074039999739}
{16.`32., 33.563270108729306}
{17.`32., 36.514410943142046}
{18.`32., 36.931982982263015}
{19.`32., 38.496653911327236}
{20.`32., 39.615386406282255}
{21.`32., 40.598317301265496}
{22.`32., 40.81074021224426}
{23.`32., 41.41517490262289}
