{1.`32., -5.5775637939100555*^-11}
{2.`32., -5.759846407424597*^-11}
{3.`32., -5.840145701892585*^-11}
{4.`32., -3.939300716569955*^-11}
{5.`32., -3.068381013884234*^-11}
{6.`32., -4.069189482446653*^-11}
{7.`32., -3.333288389998113*^-11}
{8.`32., -6.29379039117324*^-11}
{9.`32., -4.88145820133654*^-11}
{10.`32., -5.3009024873919896*^-11}
{11.`32., -6.110038906852235*^-11}
{12.`32., -2.8243676433130684*^-11}
