{1.`32., 0.025103012998874397}
{2.`32., 0.058713756735047286}
{3.`32., 0.0689365947167592}
{4.`32., 0.27323774841973403}
{5.`32., 0.3624565469265704}
{6.`32., 0.4763186573394695}
{7.`32., 0.5588314435149306}
{8.`32., 0.6791849534694093}
{9.`32., 0.7156655209437304}
{10.`32., 0.7603915498022409}
{11.`32., 0.7960437067661126}
{12.`32., 0.8264759996392534}
{13.`32., 0.8413827660191135}
{14.`32., 0.8711879183976572}
{15.`32., 0.8983162696898191}
{16.`32., 0.9108440945926947}
{17.`32., 0.9179592320622169}
{18.`32., 0.9304865937541916}
{19.`32., 0.9390147482434507}
{20.`32., 0.9545369583675325}
