{1.`32., -4.166309428786997*^-11}
{2.`32., -5.933244378253645*^-11}
{3.`32., -2.77222574259112*^-11}
{4.`32., -2.7796217870119937*^-11}
{5.`32., -5.222049455670568*^-11}
{6.`32., -5.950238313163366*^-11}
{7.`32., -3.1988648830600764*^-11}
{8.`32., -5.3750593779107094*^-11}
{9.`32., -2.7347884683445077*^-11}
{10.`32., -3.016080488764272*^-11}
