{1.`32., 6.392518316109143*^-8}
{2.`32., 0.0018263108441467612}
{3.`32., 0.00863405961769308}
{4.`32., 0.044284371692537294}
{5.`32., 0.16163029606948467}
{6.`32., 0.24582578608138916}
{7.`32., 0.2596050700459151}
{8.`32., 0.26967641470629977}
{9.`32., 0.2943233756826894}
{10.`32., 0.3073857458651589}
{11.`32., 0.34770142223269973}
{12.`32., 0.3718118526568956}
{13.`32., 0.39251556912536195}
{14.`32., 0.4043774638230287}
{15.`32., 0.4463514112162013}
{16.`32., 0.5101196556274693}
{17.`32., 0.5978356968724998}
{18.`32., 0.6264791671642428}
