{1.`32., 0.04686133178571486}
{2.`32., 0.1266105927065925}
{3.`32., 0.12732113441023518}
{4.`32., 0.18376755454428906}
{5.`32., 0.19663311671502678}
{6.`32., 0.2627190109522071}
{7.`32., 0.3225463525975596}
{8.`32., 0.38864295054041353}
{9.`32., 0.43834790242655464}
{10.`32., 0.48389751160522576}
{11.`32., 0.5173405314844862}
{12.`32., 0.5473261162809833}
{13.`32., 0.5669346978707481}
{14.`32., 0.6015440564334784}
{15.`32., 0.6283328569467667}
{16.`32., 0.6574839803867826}
{17.`32., 0.6695641728862275}
{18.`32., 0.679960637896036}
{19.`32., 0.691977198210004}
{20.`32., 0.7100382370273725}
