{1.`32., -2.945821672738116*^-11}
{2.`32., -4.522734845748804*^-11}
{3.`32., -5.896809909499272*^-11}
{4.`32., -3.6189164809270183*^-11}
{5.`32., -3.848636191153146*^-11}
{6.`32., -2.760923077924066*^-11}
{7.`32., -5.950136807284294*^-11}
{8.`32., -4.859149974820905*^-11}
{9.`32., -5.719157620810714*^-11}
{10.`32., -3.2533986397752554*^-11}
{11.`32., -2.809786708532445*^-11}
{12.`32., -3.9387187271695644*^-11}
