{3.`32., Around[5.6759884943360489519396455153114628977508151432302660836873`32., 0.0922883830747402819933093971660283969993519358499524903581`32.]}
{3.5`32., Around[7.3301609791946470349677176523064415093138569383814680584189`32., 0.1803804048441647396864586111615079082915731757699291581305`32.]}
{4.`32., Around[6.8679065516588022769168629091917875657490731268429828681314`32., 0.1599330515015574050074083845079083686623527657883508528969`32.]}
{4.5`32., Around[6.035913320530763211710050603366728421534115348973705878975`32., 0.0948659515695270202860295015163434290372602743476024385226`32.]}
{5.`32., Around[4.7757927572095693923553442906057540152751844354102778575209`32., 0.1306222136081439050289844051211112269690637613930894121013`32.]}
{5.5`32., Around[9.0833780953281579462729020059507324784219670639989798222145`32., 0.5572126679070081219550662323934471297026854668992631430909`32.]}
{6.`32., Around[13.9817854340934048699027765374758862918840753422648519691775`32., 1.6738028913710602878715503433625068117354181671628638469628`32.]}
{6.5`32., {0, 0}}
{7.`32., {0, 0}}
{7.5`32., {0, 0}}
{8.`32., {0, 0}}
{8.5`32., {0, 0}}
{9.`32., {0, 0}}
{9.5`32., {0, 0}}
{10.`32., {0, 0}}
{11.`32., {0, 0}}
{12.`32., {0, 0}}
