{3.`32., Around[6.0149727117157708264293767343209763358971942887143002003854`32., 0.4033440482330725890412988559983737473669192658613134476149`32.]}
{3.5`32., Around[7.6701853700093124647481629091196334113260116300759057871713`32., 0.4434545882030734427777771467042555945450408203129834017681`32.]}
{4.`32., Around[6.7593509364710089677394721184288428184113294981434821449403`32., 0.3398000408384361189329428183044875433562341505845700848913`32.]}
{4.5`32., Around[5.8197568890079036229959254034044157010916620192855787305567`32., 0.0850508763954948335019040589651520057357532630409441122555`32.]}
{5.`32., Around[4.4747249122845722082661673803556451867360321802978903991827`32., 0.1670916627118289856887466109909213701382054002136278046219`32.]}
{5.5`32., Around[7.6453486050346010295789019036963577725280093154515430891241`32., 0.3358562966508598083978682352455497849590466598284033829504`32.]}
{6.`32., Around[10.5594727867734603303959863961008419670146746460055768605871`32., 0.8688247311332833522151902614694004368582050373853961261837`32.]}
{6.5`32., {0, 0}}
{7.`32., {0, 0}}
{7.5`32., {0, 0}}
{8.`32., {0, 0}}
{8.5`32., {0, 0}}
{9.`32., {0, 0}}
{9.5`32., {0, 0}}
{10.`32., {0, 0}}
{12.`32., {0, 0}}
