{4.352304086261532, 0.9999050937640802 + 0.013776904036256492*I}
{4.367505983388776, 0.9998970603307539 + 0.014348111916418849*I}
{4.383217073291287, 0.9998884440835863 + 0.014936496367771118*I}
{4.399451160281378, 0.9998792095264635 + 0.015542389289608764*I}
{4.416222455845554, 0.999869319387586 + 0.01616612630879166*I}
{4.433545595811024, 0.9998587345473826 + 0.01680804684509194*I}
{4.4514356582834145, 0.9998474139639776 + 0.01746849417795337*I}
{4.469908182391786, 0.9998353145961387 + 0.01814781551461342*I}
{4.488979187879203, 0.9998223913236197 + 0.018846362059540243*I}
{4.508665195579278, 0.9998085968648124 + 0.019564489085137093*I}
{4.528983248821485, 0.9997938816916191 + 0.020302556003667805*I}
{4.5499509358105135, 0.9997781939414528 + 0.021060926440357758*I}
{4.571586413027576, 0.9997614793262682 + 0.021839968307625898*I}
{4.593908429704415, 0.9997436810385251 + 0.022640053880404697*I}
{4.6169363534237, 0.9997247396539795 + 0.02346155987250639*I}
{4.640690196902693, 0.9997045930311986 + 0.024304867513995694*I}
{4.66519064602043, 0.9996831762076884 + 0.025170362629531165*I}
{4.69045908915222, 0.99966042129252 + 0.026058435717639827*I}
{4.7165176478790825, 0.9996362573553412 + 0.026969482030892344*I}
{4.743389209143773, 0.9996106103116515 + 0.027903901656949184*I}
{4.771097458929365, 0.9995834028042172 + 0.028862099600451614*I}
{4.799666917540904, 0.9995545540805008 + 0.029844485865735366*I}
{4.829122976575547, 0.9995239798659736 + 0.030851475540348998*I}
{4.859491937671779, 0.9994915922331773 + 0.031883488879363826*I}
{4.890801053133806, 0.9994572994663949 + 0.032940951390467335*I}
{4.92307856853316, 0.9994210059217904 + 0.034024293919837675*I}
{4.956353767395754, 0.9993826118828656 + 0.03513395273880266*I}
{4.990657018089409, 0.9993420134110863 + 0.036270369631293195*I}
{5.026019823033938, 0.9992991021915159 + 0.03743399198210765*I}
{5.062474870363548, 0.9992537653732942 + 0.0386252728660108*I}
{5.100056088179427, 0.9992058854047925 + 0.039844671137698295*I}
{5.138798701539092, 0.9991553398632653 + 0.04109265152266511*I}
{5.178739292338363, 0.9991020012788194 + 0.042369684709024295*I}
{5.219915862251736, 0.9990457369525041 + 0.04367624744033024*I}
{5.262367898907573, 0.9989864087683265 + 0.045012822609468615*I}
{5.306136445485848, 0.9989238729989818 + 0.046379899353683265*I}
{5.351264173938383, 0.9988579801050806 + 0.04777797315081814*I}
{5.397795462044484, 0.9987885745276462 + 0.04920754591686029*I}
{5.4457764745288335, 0.9987154944736418 + 0.05066912610487752*I}
{5.495255248483457, 0.9986385716942797 + 0.05216322880545148*I}
{5.546281783351545, 0.9985576312558481 + 0.05369037584871396*I}
{5.598908135748106, 0.9984724913027836 + 0.05525109590810036*I}
{5.653188519410865, 0.9983829628126996 + 0.05684592460594023*I}
{5.709179410594539, 0.9982888493430685 + 0.05847540462100941*I}
{5.766939659242906, 0.998189946769244 + 0.06014008579817279*I}
{5.826530606295876, 0.998086043013487 + 0.061840525260249385*I}
{5.88801620751325, 0.9979769177646511 + 0.06357728752223367*I}
{5.951463164223291, 0.9978623421881605 + 0.06535094460800756*I}
{6.0169410614325045, 0.9977420786258986 + 0.06716207616967654*I}
{6.084522513763596, 0.9976158802856071 + 0.06901126960966111*I}
{6.154283319721427, 0.9974834909193763 + 0.07089912020567007*I}
{6.226302624822175, 0.9973446444907856 + 0.07282623123867613*I}
{6.3006630941590815, 0.9971990648302396 + 0.07479321412400528*I}
{6.377451095019287, 0.9970464652780128 + 0.07680068854564064*I}
{6.456756890210663, 0.996886548314509 + 0.07884928259382704*I}
{6.538674842805442, 0.9967190051772039 + 0.08093963290604614*I}
{6.623303633059188, 0.9965435154637288 + 0.0830723848114113*I}
{6.71074648831955, 0.996359746720522 + 0.0852481924785075*I}
{6.801111426799643, 0.9961673540164534 + 0.08746771906667354*I}
{6.894511516156303, 0.9959659795008026 + 0.0897316368806917*I}
{6.991065147884113, 0.9957552519449431 + 0.0920406275288121*I}
{7.090896328612731, 0.9955347862670639 + 0.09439538208399706*I}
{7.19413498947795, 0.9953041830392266 + 0.09679660124822208*I}
{7.300917314826844, 0.9950630279760357 + 0.09924499551961523*I}
{7.411386091614829, 0.994810891404168 + 0.10174128536215524*I}
{7.525691080958282, 0.9945473277119824 + 0.10428620137757888*I}
{7.643989413421201, 0.9942718747784032 + 0.10688048447907095*I}
{7.766446009739145, 0.9939840533802431 + 0.10952488606622295*I}
{7.893234028819334, 0.9936833665771075 + 0.11222016820065037*I}
{8.02453534500327, 0.9933692990729948 + 0.11496710378155055*I}
{8.160541056738749, 0.993041316553684 + 0.11776647672036444*I}
{8.301452028982906, 0.9926988649989849 + 0.12061908211357332*I}
{8.447479471848409, 0.9923413699688972 + 0.12352572641251665*I}
{8.598845558212473, 0.9919682358627238 + 0.1264872275889565*I}
{8.755784083234927, 0.9915788451501594 + 0.12950441529493864*I}
{8.91854116897881, 0.9911725575733852 + 0.13257813101530666*I}
{9.087376017597062, 0.9907487093191902 + 0.135709228211016*I}
{9.262561716844106, 0.9903066121601615 + 0.13889857245116366*I}
{9.44438610199409, 0.9898455525639996 + 0.14214704153139993*I}
{9.633152678601, 0.9893647907700536 + 0.14545552557611813*I}
{9.829181610923012, 0.9888635598322126 + 0.14882492712152418*I}
{10.03281078125784, 0.9883410646273584 + 0.1522561611763735*I}
{10.244396925901311, 0.9877964808286586 + 0.1557501552568229*I}
{10.464316853952305, 0.9872289538430892 + 0.15930784939148201*I}
{10.692968755748447, 0.9866375977126923 + 0.16293019609236226*I}
{10.930773608333974, 0.986021493979231 + 0.1666181602870079*I}
{11.178176686039809, 0.9853796905120781 + 0.17037271920665836*I}
{11.435649185003339, 0.9847112002993895 + 0.17419486222482788*I}
{11.703689971278598, 0.9840150002028512 + 0.17808559064020274*I}
{11.982827463095685, 0.9832900296765719 + 0.18204591739724463*I}
{12.273621658830141, 0.9825351894510101 + 0.18607686673735252*I}
{12.576666323349887, 0.9817493401831838 + 0.19017947377287334*I}
{12.892591346630734, 0.9809313010748094 + 0.19435478397566583*I}
{13.22206528988512, 0.9800798484604734 + 0.19860385257130644*I}
{13.565798135947665, 0.9791937143684241 + 0.2029277438293856*I}
{13.924544262322435, 0.9782715850571313 + 0.2073275302396689*I}
{14.299105657139636, 0.977312099531351 + 0.21180429156319228*I}
{14.69033540031576, 0.9763138480421031 + 0.21635911374661526*I}
{15.099141434485125, 0.9752753705756897 + 0.22099308768737028*I}
{15.526490652800511, 0.9741951553376776 + 0.22570730783630882*I}
{15.9734133335172, 0.9730716372386496 + 0.23050287062365393*I}
{16.441007954414125, 0.9719031963894942 + 0.23538087269311256*I}
{16.930446423608338, 0.9706881566150873 + 0.24034240892797495*I}
{17.442979767230547, 0.9694247839964226 + 0.24538857025192376*I}
{17.979944318802545, 0.968111285452607 + 0.2505204411860883*I}
{18.542768460051175, 0.9667458073756793 + 0.25573909714260584*I}
{19.132979968376496, 0.9653264343329608 + 0.2610456014335956*I}
{19.75221403234103, 0.9638511878536569 + 0.26644100197301557*I}
{20.40222200345161, 0.9623180253187237 + 0.27192632764737884*I}
{21.084880960266624, 0.9607248389756626 + 0.2775025843297749*I}
{21.80220416959598, 0.959069455102917 + 0.28317075051010726*I}
{22.556352539402347, 0.957349633352007 + 0.28893177251297936*I}
{23.349647169114064, 0.9555630662994415 + 0.29478655927328795*I}
{24.184583115599153, 0.9537073792448552 + 0.3007359766384047*I}
{25.063844507230012, 0.9517801302967153 + 0.30678084116492343*I}
{25.99032115452514, 0.9497788107923402 + 0.3129219133774345*I}
{26.96712682405959, 0.9477008461048135 + 0.3191598904567492*I}
{27.997619363004798, 0.9455435968956096 + 0.32549539832556035*I}
{29.08542288515683, 0.9433043608782598 + 0.33192898310076546*I}
{30.23445225606387, 0.940980375165041 + 0.33846110188367756*I}
{31.448940145363398, 0.9385688192752891 + 0.34509211286213687*I}
{32.7334669492622, 0.936066818890319 + 0.35182226470208827*I}
{34.092993925910605, 0.9334714504458568 + 0.3586516852104188*I}
{35.53289993202139, 0.9307797466581382 + 0.36558036925556964*I}
{37.059022201385325, 0.9279887030842043 + 0.37260816593737894*I}
{38.67770166601895, 0.9250952858203242 + 0.37973476500238074*I}
{40.395833389817405, 0.9220964404448649 + 0.38695968250490104*I}
{42.22092276427264, 0.9189891023134477 + 0.3942822457171783*I}
{44.16114820782206, 0.9157702083152305 + 0.4017015772927648*I}
{46.225431216804985, 0.9124367102002117 + 0.4092165786860185*I}
{48.42351473930116, 0.9089855895894461 + 0.4168259128260204*I}
{50.76605098624853, 0.9054138747841634 + 0.4245279860353968*I}
{53.26469996068887, 0.9017186594974376 + 0.4323209291732205*I}
{55.93224017994595, 0.8978971236449441 + 0.44020257796678736*I}
{58.78269329199503, 0.8939465563512272 + 0.4481704524805709*I}
{61.83146455221958, 0.8898643813564784 + 0.4562217356536789*I}
{65.09550143735744, 0.8856481850474428 + 0.4643532508220912*I}
{68.59347303837006, 0.881295747385408 + 0.4725614381320339*I}
{72.34597330367161, 0.8768050760639132 + 0.4808423297498926*I}
{76.37575171127328, 0.8721744442970059 + 0.48919152378638037*I}
{80.70797554827573, 0.8674024327118349 + 0.4976041568825264*I}
{85.37052868744529, 0.8624879758911672 + 0.5060748754561185*I}
{90.39435259611831, 0.8574304141737008 + 0.5145978056817221*I}
{95.81383632026353, 0.85222955136216 + 0.5231665223751056*I}
{101.66726339040702, 0.8468857189984883 + 0.5317740170700517*I}
{107.99732503840062, 0.8413998478283466 + 0.5404126657037311*I}
{114.85171084670486, 0.8357735469801628 + 0.5490741964520859*I}
