{4.0000000048799365, 0.999999999999877}
{4.000000078074725, 0.9999999999685052 + 5.476285105723687*^-9*I}
{4.000000395217447, 0.9999999991930083 + 6.236420860584679*^-8*I}
{4.000001248923828, 0.9999999919423073 + 3.5025143035748666*^-7*I}
{4.0000030486336, 0.9999999520015851 + 1.3350942206124577*^-6*I}
{4.000006320389338, 0.9999997938033257 + 3.98167969752452*^-6*I}
{4.000011706553726, 0.9999992932171906 + 0.000010021431246238776*I}
{4.000019965466433, 0.9999979468273263 + 0.000022268254751636823*I}
{4.000031971042059, 0.9999947450997536 + 0.000044969684388835706*I}
{4.000048712310884, 0.9999878327764835 + 0.00008417324150497511*I}
{4.000071292904347, 0.9999740298649272 + 0.00014807853465300953*I}
{4.000100930487503, 0.9999481896296633 + 0.0002473344173627671*I}
{4.000138956140858, 0.9999023770635685 + 0.0003952280620384224*I}
{4.000186813694302, 0.9998248634514318 + 0.0006077001520537004*I}
{4.0002460590160105, 0.999698950716797 + 0.000903109142943413*I}
{4.000318359259431, 0.9995016637420512 + 0.0013016598918634708*I}
{4.0004054920717, 0.9992023795636408 + 0.0018244106370498623*I}
{4.0005093447669795, 0.9987614980460469 + 0.0024917804227229624*I}
{4.0006319134684505, 0.9981292967898546 + 0.003321499726471637*I}
{4.000775302222831, 0.997245149568187 + 0.004325982869101105*I}
{4.000941722091489, 0.9960373169161655 + 0.005509153194906259*I}
{4.001133490222371, 0.994423532778923 + 0.006862820454584726*I}
{4.001353028907094, 0.9923126049374108 + 0.008362791031117247*I}
{4.001602864627732, 0.9896072123614339 + 0.009964979088719347*I}
{4.001885627097907, 0.9862080146963246 + 0.011601870500530803*I}
{4.0022040483029535, 0.9820190863057583 + 0.013179758795711939*I}
{4.002560961544007, 0.9769545531920404 + 0.014577209103332447*I}
{4.002959300490973, 0.9709461551754028 + 0.015645198418726747*I}
{4.003402098249421, 0.9639512934400676 + 0.016209317841869277*I}
{4.0038924864465315, 0.9559609753667834 + 0.01607429991141335*I}
{4.00443369434127, 0.9470069574341651 + 0.015030955022547013*I}
{4.005029047964062, 0.9371673349804386 + 0.012865377671733673*I}
{4.005681969291232, 0.9265698520632973 + 0.009370037320729694*I}
{4.006395975459594, 0.9153923143141107 + 0.004356128207845993*I}
{4.00717467802652, 0.903859680155792 - 0.00233365126641352*I}
{4.008021782280932, 0.8922376665470375 - 0.010812856245944864*I}
{4.00894108661061, 0.8808230091118711 - 0.02114060463596467*I}
{4.009936481931277, 0.8699308299565077 - 0.03331339789935285*I}
{4.0110119511828906, 0.8598798534392922 - 0.0472602575043253*I}
{4.012171568898606, 0.8509764366431279 - 0.06284173721571*I}
{4.013419500851852, 0.8434985204710103 - 0.0798530648616893*I}
{4.014760003786985, 0.8376806431907565 - 0.0980313309387473*I}
{4.016197425238942, 0.8337010877090664 - 0.11706631145043116*I}
{4.017736203447363, 0.831672066305542 - 0.13661422283222222*I}
{4.0193808673705815, 0.8316336021207611 - 0.15631348562906905*I}
{4.021136036804924, 0.8335514728537113 - 0.17580143945797042*I}
{4.023006422614737, 0.8373192697615953 - 0.19473091267968615*I}
{4.024996827078543, 0.8427643244711382 - 0.21278560348309453*I}
{4.027112144356737, 0.8496569936324607 - 0.22969336295530887*I}
{4.029357361086243, 0.8577225869850051 - 0.24523666660269758*I}
{4.031737557107532, 0.8666550901371051 - 0.25925979621615847*I}
{4.03425790632944, 0.8761317735130297 - 0.27167250539797455*I}
{4.036923677737223, 0.8858277904781507 - 0.28245018740990246*I}
{4.039740236549314, 0.8954299417297825 - 0.29163078458070113*I}
{4.042713045528288, 0.9046489066317497 - 0.29930886027683085*I}
{4.04584766645157, 0.9132293999948426 - 0.30562738852047056*I}
{4.049149761747469, 0.9209578890379687 - 0.310767898975385*I}
{4.05262509630221, 0.9276676849881471 - 0.31493964703092725*I}
{4.056279539443648, 0.9332413940697333 - 0.31836846463808977*I}
{4.060119067107526, 0.9376108632666001 - 0.3212858946356353*I}
{4.064149764192138, 0.9407548800094058 - 0.32391912845347043*I}
{4.068377827107431, 0.9426949776691644 - 0.3264821638802748*I}
{4.072809566524719, 0.943489759048166 - 0.3291684854651784*I}
{4.077451410333255, 0.9432281789558874 - 0.33214545371428456*I}
{4.082309906810166, 0.9420222273259167 - 0.33555047790162684*I}
{4.087391728010344, 0.9399994303914365 - 0.33948894686297276*I}
{4.0927036733831645, 0.9372955442213526 - 0.3440338067591784*I}
{4.0982526736230565, 0.9340477577884316 - 0.3492266070511806*I}
{4.104045794761242, 0.9303886569863067 - 0.3550797869114725*I}
{4.110090242506189, 0.9264411315396998 - 0.36157994382520386*I}
{4.116393366840638, 0.9223143378551597 - 0.3686918129998045*I}
{4.122962666883355, 0.9181007660772732 - 0.37636268843195064*I}
{4.129805796024092, 0.9138744016658722 - 0.3845270315919042*I}
{4.136930567340654, 0.9096899225865996 - 0.3931110389203573*I}
{4.144344959307283, 0.9055828338245601 - 0.40203697186426035*I}
{4.152057121804065, 0.9015704118054689 - 0.41122709027544085*I}
{4.16007538243749, 0.8976533122651477 - 0.42060706915509244*I}
{4.168408253182765, 0.893817685495644 - 0.430108817761431*I}
{4.177064437359042, 0.890037641708909 - 0.43967265719260074*I}
