{4.0000000048799365, 1.}
{4.000000078074725, 1.}
{4.000000395217447, 0.9999999999999996 - 1.1960227654145578*^-10*I}
{4.000001248923828, 0.9999999999999956 - 6.718758828657917*^-10*I}
{4.0000030486336, 0.9999999999999737 - 2.562374702539267*^-9*I}
{4.000006320389338, 0.9999999999998871 - 7.648916676829584*^-9*I}
{4.000011706553726, 0.9999999999996133 - 1.9280876589168688*^-8*I}
{4.000019965466433, 0.9999999999988773 - 4.294383597474209*^-8*I}
{4.000031971042059, 0.9999999999971296 - 8.7019101859995*^-8*I}
{4.000048712310884, 0.999999999993363 - 1.6365692479964975*^-7*I}
{4.000071292904347, 0.9999999999858599 - 2.897620665668664*^-7*I}
{4.000100930487503, 0.9999999999718584 - 4.880901867623725*^-7*I}
{4.000138956140858, 0.9999999999471377 - 7.884533345422843*^-7*I}
{4.000186813694302, 0.9999999999055289 - 1.2290326451377343*^-6*I}
{4.0002460590160105, 0.9999999998383746 - 1.8577961488261513*^-6*I}
{4.000318359259431, 0.9999999997339751 - 2.7340193999756995*^-6*I}
{4.0004054920717, 0.9999999995770772 - 3.929906422839498*^-6*I}
{4.0005093447669795, 0.9999999993484772 - 5.532308246062003*^-6*I}
{4.0006319134684505, 0.9999999990248205 - 7.644536057123983*^-6*I}
{4.000775302222831, 0.9999999985786755 - 0.00001038826575037259*I}
{4.000941722091489, 0.9999999979789325 - 0.000013905530369448273*I}
{4.001133490222371, 0.9999999971915257 - 0.000018360796661819132*I}
{4.001353028907094, 0.9999999961803842 - 0.00002394312167889756*I}
{4.001602864627732, 0.9999999949083789 - 0.00003086838508329112*I}
{4.001885627097907, 0.9999999933378582 - 0.00003938159258214393*I}
{4.0022040483029535, 0.999999991430151 - 0.000049759245710898137*I}
{4.002560961544007, 0.9999999891431842 - 0.00006231177306221114*I}
{4.002959300490973, 0.9999999864261379 - 0.00007738601800147881*I}
{4.003402098249421, 0.9999999832098708 - 0.00009536777793433843*I}
{4.0038924864465315, 0.9999999793917426 - 0.00011668439027924699*I}
{4.00443369434127, 0.9999999748134434 - 0.00014180736041993395*I}
{4.005029047964062, 0.9999999692305608 - 0.00017125502702286502*I}
{4.005681969291232, 0.9999999622728548 - 0.0002055952601474889*I}
{4.006395975459594, 0.9999999533945502 - 0.0002454481874927561*I}
{4.00717467802652, 0.9999999418143564 - 0.00029148894386081704*I}
{4.008021782280932, 0.9999999264452939 - 0.0003444504384458069*I}
{4.00894108661061, 0.9999999058146795 - 0.00040512613386917964*I}
{4.009936481931277, 0.9999998779746962 - 0.0004743728300150974*I}
{4.0110119511828906, 0.9999998404037772 - 0.0005531134447369637*I}
{4.012171568898606, 0.9999997898985188 - 0.0006423397825053766*I}
{4.013419500851852, 0.9999997224549959 - 0.0007431152811617962*I}
{4.014760003786985, 0.9999996331372082 - 0.0008565777262458581*I}
{4.016197425238942, 0.9999995159290225 - 0.0009839419219769985*I}
{4.017736203447363, 0.9999993635644961 - 0.0011265023079619408*I}
{4.0193808673705815, 0.9999991673299984 - 0.0012856355110962621*I}
{4.021136036804924, 0.9999989168302251 - 0.0014628028229118509*I}
{4.023006422614737, 0.9999985997091482 - 0.001659552593728588*I}
{4.024996827078543, 0.9999982013162451 - 0.0018775225362963614*I}
{4.027112144356737, 0.9999977043080718 - 0.002118441933035177*I}
{4.029357361086243, 0.999997088175384 - 0.0023841337423584144*I}
{4.031737557107532, 0.999996328686542 - 0.002676516600763516*I}
{4.03425790632944, 0.9999953972387773 - 0.002997606718280498*I}
{4.036923677737223, 0.9999942601099511 - 0.003349519665396494*I}
{4.039740236549314, 0.999992877604566 - 0.003734472049676252*I}
{4.042713045528288, 0.999991203088877 - 0.004154783079966732*I}
{4.04584766645157, 0.9999891819108457 - 0.0046128760153409986*I}
{4.049149761747469, 0.999986750201307 - 0.005111279494869747*I}
{4.05262509630221, 0.9999838335529501 - 0.005652628743003296*I}
{4.056279539443648, 0.9999803455735422 - 0.006239666643916732*I}
{4.060119067107526, 0.9999761863091912 - 0.006875244676739227*I}
{4.064149764192138, 0.9999712405323895 - 0.007562323702277544*I}
{4.068377827107431, 0.9999653758881475 - 0.008303974590766108*I}
{4.072809566524719, 0.9999584408897852 - 0.009103378679426764*I}
{4.077451410333255, 0.9999502627540066 - 0.00996382804827241*I}
{4.082309906810166, 0.9999406450628447 - 0.010888725602684595*I}
{4.087391728010344, 0.9999293652380573 - 0.011881584951850913*I}
{4.0927036733831645, 0.9999161718116912 - 0.012946030073149067*I}
{4.0982526736230565, 0.999900781474941 - 0.014085794753967916*I}
{4.104045794761242, 0.9998828758861903 - 0.015304721804193165*I}
{4.110090242506189, 0.9998620982183463 - 0.01660676203456697*I}
{4.116393366840638, 0.9998380494252991 - 0.017995972998250058*I}
{4.122962666883355, 0.9998102842076145 - 0.019476517495054312*I}
{4.129805796024092, 0.9997783066583985 - 0.021052661839850224*I}
{4.136930567340654, 0.9997415655716421 - 0.022728773898464106*I}
{4.144344959307283, 0.9996994493972344 - 0.02450932089584796*I}
{4.152057121804065, 0.9996512808291331 - 0.026398867002324473*I}
{4.16007538243749, 0.9995963110158457 - 0.02840207070419126*I}
{4.168408253182765, 0.9995337133852733 - 0.030523681964842203*I}
{4.177064437359042, 0.9994625770790064 - 0.03276853918178337*I}
{4.1860528369492505, 0.999381899994195 - 0.03514156594346517*I}
{4.19538256027682, 0.9992905814340395 - 0.03764776758772767*I}
{4.205062930052235, 0.999187414370612 - 0.04029222756089622*I}
{4.215103491803007, 0.9990710773260362 - 0.0430801035732294*I}
{4.225514022701408, 0.9989401258798938 - 0.046016623542599104*I}
{4.236304540805039, 0.9987929838120305 - 0.04910708131408007*I}
{4.247485314726133, 0.9986279338906278 - 0.05235683213867464*I}
{4.2590668737463915, 0.9984431083154623 - 0.055771287889840246*I}
{4.271060018394988, 0.9982364788256965 - 0.05935591199197808*I}
{4.283475831508457, 0.9980058464803516 - 0.06311621403074026*I}
{4.296325689792119, 0.9977488311178959 - 0.06705774401107675*I}
{4.309621275903861, 0.9974628604992215 - 0.07118608622552335*I}
{4.323374591082214, 0.9971451591358323 - 0.07550685269246082*I}
{4.337597968341927, 0.9967927368025011 - 0.08002567612206805*I}
