{4.005029047964062, 0.0006287071358864448 + 0.9993722717395472*I}
{4.005681969291232, 0.000710460211849577 + 0.999291072570799*I}
{4.006395975459594, 0.0007999132007435015 + 0.9992024343783072*I}
{4.00717467802652, 0.0008975282837542232 + 0.9991059918685834*I}
{4.008021782280932, 0.001003772442985681 + 0.9990013993347856*I}
{4.00894108661061, 0.0011191106242214362 + 0.9988883387627776*I}
{4.009936481931277, 0.0012439959010301306 + 0.9987665286420214*I}
{4.0110119511828906, 0.0013788559357104514 + 0.9986357330098707*I}
{4.012171568898606, 0.0015240750388425843 + 0.9984957700271547*I}
{4.013419500851852, 0.0016799711958864459 + 0.998346519127829*I}
{4.014760003786985, 0.001846767568393948 + 0.9981879255208171*I}
{4.016197425238942, 0.0020245581972557574 + 0.998020000567398*I}
{4.017736203447363, 0.0022132679389138374 + 0.9978428163354556*I}
{4.0193808673705815, 0.002412607049011545 + 0.9976564924673224*I}
{4.021136036804924, 0.002622021280643561 + 0.9974611734153974*I}
{4.023006422614737, 0.0028406388680350656 + 0.9972569941214392*I}
{4.024996827078543, 0.0030672162963153154 + 0.9970440323591433*I}
{4.027112144356737, 0.0033000852839397453 + 0.9968222462365802*I}
{4.029357361086243, 0.00353710389272017 + 0.9965913957685779*I}
{4.031737557107532, 0.003775615096658883 + 0.996350947973699*I}
{4.03425790632944, 0.004012416451463935 + 0.9960999656115596*I}
{4.036923677737223, 0.004243744682068094 + 0.9958369804308927*I}
{4.039740236549314, 0.004465279021856633 + 0.995559852616708*I}
{4.042713045528288, 0.004672166978384275 + 0.9952656189702991*I}
{4.04584766645157, 0.004859075858645825 + 0.9949503331893919*I}
{4.049149761747469, 0.00502027286430475 + 0.9946089023968911*I}
{4.05262509630221, 0.005149735874805904 + 0.9942349247560901*I}
{4.056279539443648, 0.005241296193784963 + 0.9938205335717444*I}
{4.060119067107526, 0.005288813568959662 + 0.9933562536791258*I}
{4.064149764192138, 0.005286382741111897 + 0.9928308761427588*I}
{4.068377827107431, 0.0052285696715054005 + 0.992231357306412*I}
{4.072809566524719, 0.005110674479210921 + 0.9915427480477356*I}
{4.077451410333255, 0.004929017030950627 + 0.9907481586947942*I}
{4.082309906810166, 0.004681240105608653 + 0.9898287644658463*I}
{4.087391728010344, 0.004366624140036136 + 0.988763855513691*I}
{4.0927036733831645, 0.003986406784578683 + 0.9875309347139362*I}
{4.0982526736230565, 0.0035440998830038317 + 0.9861058652601461*I}
{4.104045794761242, 0.003045796063340149 + 0.9844630689496238*I}
{4.110090242506189, 0.0025004568982402676 + 0.9825757747959514*I}
{4.116393366840638, 0.001920174573908443 + 0.9804163163241182*I}
{4.122962666883355, 0.0013203991969197013 + 0.9779564746270794*I}
{4.129805796024092, 0.00072012426371524 + 0.9751678630238355*I}
{4.136930567340654, 0.00014202340778003507 + 0.9720223479915338*I}
{4.144344959307283, -0.0003874676909954984 + 0.9684924999777041*I}
{4.152057121804065, -0.0008381294213271714 + 0.9645520667600064*I}
{4.16007538243749, -0.0011760005014592948 + 0.9601764612321269*I}
{4.168408253182765, -0.0013634873325015415 + 0.9553432548736244*I}
{4.177064437359042, -0.001359542133568529 + 0.9500326677217857*I}
{4.1860528369492505, -0.0011199102378946812 + 0.9442280454134288*I}
{4.19538256027682, -0.0005974455950477055 + 0.9379163138079192*I}
{4.205062930052235, 0.0002575078046793812 + 0.931088401838822*I}
{4.215103491803007, 0.0014966721638820404 + 0.9237396235657556*I}
{4.225514022701408, 0.0031733345871877102 + 0.9158700109014822*I}
{4.236304540805039, 0.00534179423782783 + 0.9074845891599286*I}
{4.247485314726133, 0.00805676496340665 + 0.8985935883935693*I}
{4.2590668737463915, 0.0113727413392647 + 0.8892125844458241*I}
{4.271060018394988, 0.015343336865520698 + 0.8793625647161737*I}
{4.283475831508457, 0.020020603690088082 + 0.8690699148014827*I}
{4.296325689792119, 0.025454343705412743 + 0.8583663234143761*I}
{4.309621275903861, 0.03169142117531737 + 0.8472886042657906*I}
{4.323374591082214, 0.03877508718728687 + 0.8358784349112544*I}
{4.337597968341927, 0.04674432619495865 + 0.824182013876639*I}
{4.352304086261532, 0.055633234718535464 + 0.8122496386773709*I}
{4.367505983388776, 0.06547044191302274 + 0.8001352086047798*I}
{4.383217073291287, 0.07627858120372312 + 0.7878956573551067*I}
{4.399451160281378, 0.08807382153555668 + 0.7755903217030243*I}
{4.416222455845554, 0.10086546599962243 + 0.7632802534564738*I}
{4.433545595811024, 0.114655624700631 + 0.751027482859228*I}
{4.4514356582834145, 0.12943896772732552 + 0.7388942424200121*I}
{4.469908182391786, 0.14520256300061907 + 0.7269421608324202*I}
{4.488979187879203, 0.1619258026174274 + 0.7152314372006507*I}
{4.508665195579278, 0.17958042009896336 + 0.7038200061966625*I}
{4.528983248821485, 0.19813059970761457 + 0.6927627050412494*I}
{4.5499509358105135, 0.21753317773337416 + 0.6821104533232231*I}
{4.571586413027576, 0.23773793438574908 + 0.6719094566477247*I}
{4.593908429704415, 0.25868797367624513 + 0.6622004449387707*I}
{4.6169363534237, 0.2803201874553825 + 0.6530179559161975*I}
{4.640690196902693, 0.3025657985914021 + 0.6443896738283965*I}
{4.66519064602043, 0.32535097715915284 + 0.6363358329561619*I}
{4.69045908915222, 0.34859752245990977 + 0.6288686947173091*I}
{4.7165176478790825, 0.37222360272780863 + 0.6219921064052102*I}
{4.743389209143773, 0.3961445435068868 + 0.6157011486966676*I}
{4.771097458929365, 0.4202736549139552 + 0.6099818780760125*I}
{4.799666917540904, 0.44452308734515594 + 0.6048111692540028*I}
{4.829122976575547, 0.4688047046454376 + 0.6001566615235887*I}
{4.859491937671779, 0.4930309633465413 + 0.5959768118018826*I}
{4.890801053133806, 0.5171157862956125 + 0.592221055871073*I}
{4.92307856853316, 0.5409754188473275 + 0.5888300780631276*I}
{4.956353767395754, 0.5645292557805125 + 0.5857361883467407*I}
{4.990657018089409, 0.5877006272276755 + 0.582863804483016*I}
{5.026019823033938, 0.6104175321736961 + 0.5801300356318483*I}
{5.062474870363548, 0.6326133084881624 + 0.5774453625269371*I}
{5.100056088179427, 0.6542272290035591 + 0.5747144081069242*I}
{5.138798701539092, 0.6752050138367341 + 0.571836791306322*I}
{5.178739292338363, 0.6954992499708652 + 0.5687080555857144*I}
{5.219915862251736, 0.7150697100655059 + 0.565220662729063*I}
{5.262367898907573, 0.733883563538185 + 0.5612650414696279*I}
{5.306136445485848, 0.7519154741563042 + 0.5567306796376089*I}
{5.351264173938383, 0.769147579685441 + 0.551507247764524*I}
{5.397795462044484, 0.785569350551117 + 0.5454857414436172*I}
{5.4457764745288335, 0.8011773259758854 + 0.538559629243945*I}
{5.495255248483457, 0.8159747276411421 + 0.5306259926194197*I}
{5.546281783351545, 0.8299709525809041 + 0.5215866440536201*I}
{5.598908135748106, 0.8431809487290322 + 0.5113492096464711*I}
{5.653188519410865, 0.8556244782965693 + 0.49982816248893774*I}
{5.709179410594539, 0.8673252759350889 + 0.4869457934945562*I}
{5.766939659242906, 0.8783101104266537 + 0.47263310686854665*I}
{5.826530606295876, 0.888607760411074 + 0.4568306281015083*I}
{5.88801620751325, 0.8982479163949297 + 0.43948911327859513*I}
{5.951463164223291, 0.9072600229610722 + 0.4205701495978802*I}
{6.0169410614325045, 0.9156720766873674 + 0.4000466382922624*I}
{6.084522513763596, 0.9235093967632899 + 0.37790315264402435*I}
{6.154283319721427, 0.930793386635427 + 0.3541361654633137*I}
{6.226302624822175, 0.937540306189884 + 0.3287541422613941*I}
{6.3006630941590815, 0.9437600749621734 + 0.3017774983728732*I}
{6.377451095019287, 0.9494551276242649 + 0.27323842045069285*I}
{6.456756890210663, 0.9546193435049969 + 0.24318055505166136*I}
{6.538674842805442, 0.959237072125449 + 0.21165856942241176*I}
{6.623303633059188, 0.9632822766477346 + 0.17873759205485204*I}
{6.71074648831955, 0.9667178167183025 + 0.1444925430705278*I}
{6.801111426799643, 0.9694948914119766 + 0.10900736697396016*I}
{6.894511516156303, 0.9715526618306388 + 0.0723741827401258*I}
{6.991065147884113, 0.9728180713647043 + 0.034692368520145705*I}
{7.090896328612731, 0.973205879675454 - 0.003932399593285658*I}
{7.19413498947795, 0.972618924096857 - 0.04338913336255358*I}
{7.300917314826844, 0.9709486193887087 - 0.08356251973279823*I}
{7.411386091614829, 0.9680757036085818 - 0.12433388535613966*I}
{7.525691080958282, 0.9638712343270376 - 0.16558211309150128*I}
{7.643989413421201, 0.9581978355173724 - 0.20718448485749977*I}
{7.766446009739145, 0.9509111912471887 - 0.24901742536615773*I}
{7.893234028819334, 0.9418617778349543 - 0.29095712203156654*I}
{8.02453534500327, 0.9308968214730623 - 0.3328799977895123*I}
{8.160541056738749, 0.9178624635345859 - 0.3746630157338439*I}
{8.301452028982906, 0.9026061109610223 - 0.41618379741576295*I}
{8.447479471848409, 0.8849789443718894 - 0.45732054039366155*I}
{8.598845558212473, 0.8648385519542742 - 0.4979517251787099*I}
