{4.00894108661061, 0.9999999068353349 - 0.00042781908905989424*I}
{4.009936481931277, 0.9999998861012012 - 0.00047536885272951004*I}
{4.0110119511828906, 0.9999998609459119 - 0.0005267265263028319*I}
{4.012171568898606, 0.9999998305853883 - 0.0005820827918531593*I}
{4.013419500851852, 0.9999997941528035 - 0.0006416321509300514*I}
{4.014760003786985, 0.9999997506978106 - 0.0007055728552746258*I}
{4.016197425238942, 0.9999996991845981 - 0.000774106835802057*I}
{4.017736203447363, 0.9999996384879087 - 0.0008474396301932609*I}
{4.0193808673705815, 0.999999567386235 - 0.0009257803097123485*I}
{4.021136036804924, 0.9999994845515706 - 0.0010093414061083219*I}
{4.023006422614737, 0.9999993885353368 - 0.0010983388396387944*I}
{4.024996827078543, 0.9999992777503938 - 0.0011929918493473845*I}
{4.027112144356737, 0.9999991504493658 - 0.0012935229267217667*I}
{4.029357361086243, 0.9999990046998019 - 0.0014001577537542929*I}
{4.031737557107532, 0.9999988383569567 - 0.0015131251462308331*I}
{4.03425790632944, 0.9999986490351598 - 0.0016326570028049837*I}
{4.036923677737223, 0.9999984340788334 - 0.0017589882601002286*I}
{4.039740236549314, 0.9999981905342222 - 0.0018923568537523117*I}
{4.042713045528288, 0.9999979151227906 - 0.0020330036849890874*I}
{4.04584766645157, 0.9999976042170562 - 0.002181172592074167*I}
{4.049149761747469, 0.999997253819369 - 0.002337110325737436*I}
{4.05262509630221, 0.999996859543837 - 0.0025010665275966466*I}
{4.056279539443648, 0.9999964166012765 - 0.0026732937105483196*I}
{4.060119067107526, 0.9999959197867474 - 0.0028540472401732794*I}
{4.064149764192138, 0.9999953634689513 - 0.0030435853163545586*I}
{4.068377827107431, 0.9999947415805466 - 0.0032421689545287097*I}
{4.072809566524719, 0.9999940476082766 - 0.003450061966266189*I}
{4.077451410333255, 0.9999932745817421 - 0.003667530939179733*I}
{4.082309906810166, 0.9999924150596576 - 0.0038948452164676343*I}
{4.087391728010344, 0.9999914611125336 - 0.004132276876688367*I}
{4.0927036733831645, 0.999990404300891 - 0.004380100714613444*I}
{4.0982526736230565, 0.9999892356483466 - 0.004638594224199773*I}
{4.104045794761242, 0.9999879456091703 - 0.0049080375848490135*I}
{4.110090242506189, 0.9999865240302118 - 0.005188713652172811*I}
{4.116393366840638, 0.9999849601073774 - 0.005480907954457811*I}
{4.122962666883355, 0.9999832423371098 - 0.005784908695927103*I}
{4.129805796024092, 0.999981358463563 - 0.006101006767733495*I}
{4.136930567340654, 0.9999792954223419 - 0.006429495767407064*I}
{4.144344959307283, 0.9999770392818076 - 0.006770672027229747*I}
{4.152057121804065, 0.9999745751830021 - 0.007124834651739719*I}
{4.16007538243749, 0.9999718872792394 - 0.007492285564295149*I}
{4.168408253182765, 0.9999689586763328 - 0.007873329562367049*I}
{4.177064437359042, 0.9999657713742951 - 0.008268274380999148*I}
{4.1860528369492505, 0.9999623062111588 - 0.008677430763681961*I}
{4.19538256027682, 0.9999585428093478 - 0.009101112539747961*I}
{4.205062930052235, 0.9999544595247758 - 0.009539636707311793*I}
{4.215103491803007, 0.9999500333985927 - 0.009993323520756799*I}
{4.225514022701408, 0.9999452401112436 - 0.010462496581806483*I}
{4.236304540805039, 0.9999400539382663 - 0.010947482933313777*I}
{4.247485314726133, 0.9999344477070418 - 0.011448613155045492*I}
{4.2590668737463915, 0.9999283927535414 - 0.011966221460926161*I}
{4.271060018394988, 0.9999218588779907 - 0.012500645797423871*I}
{4.283475831508457, 0.999914814298291 - 0.013052227942999654*I}
{4.296325689792119, 0.9999072256000228 - 0.013621313608789308*I}
{4.309621275903861, 0.9998990576818836 - 0.014208252540930598*I}
{4.323374591082214, 0.9998902736954975 - 0.014813398625178019*I}
{4.337597968341927, 0.9998808349786593 - 0.01543710999465192*I}
{4.352304086261532, 0.9998707009812389 - 0.016079749141739805*I}
{4.367505983388776, 0.9998598291831716 - 0.016741683035298313*I}
{4.383217073291287, 0.9998481750041678 - 0.017423283244389926*I}
{4.399451160281378, 0.9998356917050041 - 0.01812492606982592*I}
{4.416222455845554, 0.9998223302804804 - 0.018846992684776246*I}
{4.433545595811024, 0.9998080393443379 - 0.019589869285648986*I}
{4.4514356582834145, 0.9997927650066295 - 0.0203539472543405*I}
{4.469908182391786, 0.9997764507441937 - 0.021139623332817555*I}
{4.488979187879203, 0.9997590372650141 - 0.02194729981082102*I}
{4.508665195579278, 0.9997404623673317 - 0.022777384727285185*I}
{4.528983248821485, 0.9997206607944168 - 0.023630292085856004*I}
{4.5499509358105135, 0.9996995640859019 - 0.02450644208467485*I}
{4.571586413027576, 0.9996771004265206 - 0.02540626136038078*I}
{4.593908429704415, 0.9996531944929931 - 0.026330183246083518*I}
{4.6169363534237, 0.9996277672996527 - 0.027278648042879876*I}
{4.640690196902693, 0.9996007360432209 - 0.02825210330433595*I}
{4.66519064602043, 0.9995720139469146 - 0.029251004133243757*I}
{4.69045908915222, 0.9995415101038244 - 0.030275813489889274*I}
{4.7165176478790825, 0.9995091293192283 - 0.03132700251104383*I}
{4.743389209143773, 0.9994747719512334 - 0.03240505083891562*I}
{4.771097458929365, 0.9994383337488516 - 0.03351044695937369*I}
{4.799666917540904, 0.9993997056863428 - 0.03464368854888334*I}
{4.829122976575547, 0.9993587737923999 - 0.03580528282976763*I}
{4.859491937671779, 0.9993154189725177 - 0.036995746933630724*I}
{4.890801053133806, 0.9992695168226823 - 0.038215608273041185*I}
{4.92307856853316, 0.999220937432354 - 0.03946540492187021*I}
{4.956353767395754, 0.9991695451746007 - 0.040745686005003924*I}
{4.990657018089409, 0.9991151984811634 - 0.04205701209849244*I}
{5.026019823033938, 0.9990577496002198 - 0.043399955641551344*I}
{5.062474870363548, 0.9989970443346448 - 0.04477510136218491*I}
{5.100056088179427, 0.9989329217586556 - 0.0461830467185438*I}
{5.138798701539092, 0.9988652139108642 - 0.04762440235845347*I}
{5.178739292338363, 0.9987937454619498 - 0.04909979259984336*I}
{5.219915862251736, 0.9987183333553844 - 0.05060985593506077*I}
{5.262367898907573, 0.9986387864199131 - 0.052155245562259804*I}
{5.306136445485848, 0.9985549049527693 - 0.05373662994720549*I}
{5.351264173938383, 0.9984664802729128 - 0.055354693418920915*I}
{5.397795462044484, 0.998373294243879 - 0.0570101368026255*I}
{5.4457764745288335, 0.9982751187661233 - 0.0587036780933619*I}
{5.495255248483457, 0.9981717152390166 - 0.060436053173586635*I}
{5.546281783351545, 0.9980628339928788 - 0.062208016577805884*I}
{5.598908135748106, 0.9979482136916159 - 0.06402034230707646*I}
{5.653188519410865, 0.9978275807066402 - 0.06587382469586861*I}
{5.709179410594539, 0.9977006484627753 - 0.06776927933340948*I}
{5.766939659242906, 0.9975671167567836 - 0.06970754404120619*I}
{5.826530606295876, 0.9974266710489715 - 0.07168947990799725*I}
{5.88801620751325, 0.9972789817280271 - 0.07371597238291838*I}
{5.951463164223291, 0.997123703348816 - 0.07578793242721077*I}
{6.0169410614325045, 0.9969604738422935 - 0.0779062977243679*I}
{6.084522513763596, 0.9967889136959842 - 0.08007203394823416*I}
{6.154283319721427, 0.9966086251026337 - 0.08228613608825722*I}
{6.226302624822175, 0.9964191910736575 - 0.08454962983088414*I}
{6.3006630941590815, 0.9962201745129022 - 0.08686357299600084*I}
