{4.0000000048799365, -0.9999999999993405}
{4.000000078074725, -0.9999999816802433 - 3.5833000785445312*^-9*I}
{4.000000395217447, -0.9999999018902831 - 4.080686225231534*^-8*I}
{4.000001248923828, -0.9999996837487853 - 2.291814559968038*^-7*I}
{4.0000030486336, -0.999999207848972 - 8.736051885539348*^-7*I}
{4.000006320389338, -0.9999982870366643 - 2.6054119190709367*^-6*I}
{4.000011706553726, -0.9999966149666331 - 6.557691793759605*^-6*I}
{4.000019965466433, -0.9999936746570741 - 0.000014572181606126212*I}
{4.000031971042059, -0.9999885910166987 - 0.00002942951961302195*I}
{4.000048712310884, -0.9999799099401733 - 0.000055089927272665005*I}
{4.000071292904347, -0.999965286526821 - 0.00009692532788602887*I}
{4.000100930487503, -0.9999410668549735 - 0.00016191667011518175*I}
{4.000138956140858, -0.9999017521963188 - 0.0002587821545316234*I}
{4.000186813694302, -0.9998393422466699 - 0.000397993822682811*I}
{4.0002460590160105, -0.9997425654508734 - 0.0005916325717144265*I}
{4.000318359259431, -0.9995960201346121 - 0.0008530264910750579*I}
{4.0004054920717, -0.9993792698195322 - 0.0011961162162843245*I}
{4.0005093447669795, -0.9990659590506005 - 0.0016344957313500453*I}
{4.0006319134684505, -0.9986230407378447 - 0.0021800897260146946*I}
{4.000775302222831, -0.9980102298784624 - 0.002841450927932084*I}
{4.000941722091489, -0.9971798180735103 - 0.0036216937571036468*I}
{4.001133490222371, -0.9960769941742474 - 0.004516123945506323*I}
{4.001353028907094, -0.9946408139767766 - 0.005509675488831701*I}
{4.001602864627732, -0.9928059416852564 - 0.006574322467274718*I}
{4.001885627097907, -0.9905052445881993 - 0.007666687779923294*I}
{4.0022040483029535, -0.9876732588895258 - 0.008726115756133464*I}
{4.002560961544007, -0.9842504608307655 - 0.009673501975570705*I}
{4.002959300490973, -0.980188178758782 - 0.01041117270058513*I}
{4.003402098249421, -0.9754538780461334 - 0.010824071164740294*I}
{4.0038924864465315, -0.9700364543163824 - 0.01078243512872239*I}
{4.00443369434127, -0.9639510955503106 - 0.01014604108885033*I}
{4.005029047964062, -0.9572432342927495 - 0.008769952495364294*I}
{4.005681969291232, -0.9499911185258039 - 0.006511555064048484*I}
{4.006395975459594, -0.9423065899422062 - 0.003238508843653663*I}
{4.00717467802652, -0.934333770709918 + 0.0011628866317067604*I}
{4.008021782280932, -0.9262455163290881 + 0.006779512498311231*I}
{4.00894108661061, -0.91823767801799 + 0.013664075697047855*I}
{4.009936481931277, -0.9105214134501827 + 0.021829197966757023*I}
{4.0110119511828906, -0.9033139676395885 + 0.031243483874748665*I}
{4.012171568898606, -0.8968284953612715 + 0.04182996367049653*I}
{4.013419500851852, -0.8912635957208922 + 0.05346712594256117*I}
{4.014760003786985, -0.8867932676475371 + 0.06599255206036969*I}
{4.016197425238942, -0.8835579689994661 + 0.07920896058708177*I}
{4.017736203447363, -0.8816573760040792 + 0.09289228590418602*I}
{4.0193808673705815, -0.881145304753229 + 0.10680126850765237*I}
{4.021136036804924, -0.8820270879136123 + 0.12068793693072194*I}
{4.023006422614737, -0.8842595154893111 + 0.1343083189655556*I}
{4.024996827078543, -0.8877532662028609 + 0.1474327325405253*I}
{4.027112144356737, -0.8923775916627696 + 0.15985506856477638*I}
{4.029357361086243, -0.897966881316981 + 0.17140057945327614*I}
{4.031737557107532, -0.9043286403192096 + 0.1819318155461119*I}
{4.03425790632944, -0.9112523584327445 + 0.19135249399196724*I}
{4.036923677737223, -0.9185187353813208 + 0.19960922818549248*I}
{4.039740236549314, -0.9259087526097493 + 0.20669117951809401*I}
{4.042713045528288, -0.933212136726251 + 0.21262780842844764*I}
{4.04584766645157, -0.9402348379717202 + 0.21748499270617322*I}
{4.049149761747469, -0.9468052393824746 + 0.2213598446848668*I}
{4.05262509630221, -0.9527789106546742 + 0.22437459487585873*I}
{4.056279539443648, -0.9580418177593191 + 0.22666991936981548*I}
{4.060119067107526, -0.9625119890905892 + 0.2283980751831483*I}
{4.064149764192138, -0.9661397168760395 + 0.22971617589966084*I}
{4.068377827107431, -0.968906435816611 + 0.23077989422375492*I}
{4.072809566524719, -0.9708224680072962 + 0.23173782326196654*I}
{4.077451410333255, -0.9719238539449555 + 0.23272666904622516*I}
{4.082309906810166, -0.9722685047241867 + 0.23386738703137863*I}
{4.087391728010344, -0.9719319119930371 + 0.23526231837318273*I}
{4.0927036733831645, -0.9710026420365403 + 0.236993330284181*I}
{4.0982526736230565, -0.9695778208999097 + 0.23912092046288003*I}
{4.104045794761242, -0.9677587912476383 + 0.24168420955955183*I}
{4.110090242506189, -0.9656470910812074 + 0.24470171830146348*I}
{4.116393366840638, -0.9633408716964759 + 0.24817280713747716*I}
{4.122962666883355, -0.9609318392502183 + 0.25207964554282863*I}
{4.129805796024092, -0.9585027725852323 + 0.25638957461031864*I}
{4.136930567340654, -0.9561256407447196 + 0.2610577292068788*I}
{4.144344959307283, -0.9538603177556536 + 0.26602979365376944*I}
{4.152057121804065, -0.9517538703261254 + 0.2712447764296876*I}
{4.16007538243749, -0.9498403763512193 + 0.2766377036729805*I}
{4.168408253182765, -0.9481412185871626 + 0.2821421472322275*I}
{4.177064437359042, -0.9466657883756642 + 0.28769251976222554*I}
{4.1860528369492505, -0.9454125285767945 + 0.29322608610082435*I}
{4.19538256027682, -0.9443702424958288 + 0.298684656252444*I}
{4.205062930052235, -0.943519596101172 + 0.3040159402523607*I}
{4.215103491803007, -0.942834743731552 + 0.3091745586347923*I}
{4.225514022701408, -0.9422850122838332 + 0.31412271394485075*I}
{4.236304540805039, -0.9418365850801277 + 0.31883053859605465*I}
{4.247485314726133, -0.9414541337916085 + 0.3232761423499636*I}
{4.2590668737463915, -0.9411023545497491 + 0.3274453888259743*I}
{4.271060018394988, -0.940747372359202 + 0.33133143483868094*I}
{4.283475831508457, -0.9403579858509206 + 0.3349340691509523*I}
{4.296325689792119, -0.9399067320451694 + 0.33825888859475306*I}
{4.309621275903861, -0.9393707579500841 + 0.3413163496365875*I}
{4.323374591082214, -0.9387324923693747 + 0.344120732544124*I}
{4.337597968341927, -0.937980117143065 + 0.34668905353676144*I}
{4.352304086261532, -0.9371078421461074 + 0.3490399578589137*I}
{4.367505983388776, -0.9361159927015869 + 0.3511926237708861*I}
{4.383217073291287, -0.9350109216344278 + 0.3531657041625996*I}
{4.399451160281378, -0.9338047610251436 + 0.3549763289963916*I}
{4.416222455845554, -0.9325150308638913 + 0.35663918819434987*I}
{4.433545595811024, -0.9311641233067306 + 0.35816571100219924*I}
{4.4514356582834145, -0.9297786821595609 + 0.3595633543668999*I}
{4.469908182391786, -0.9283888976256506 + 0.36083500952336633*I}
{4.488979187879203, -0.9270277363161793 + 0.3619785328464187*I}
{4.508665195579278, -0.925730126105024 + 0.36298640412303024*I}
{4.528983248821485, -0.9245321146718393 + 0.3638455127611131*I}
{4.5499509358105135, -0.9234700195802604 + 0.36453707008840947*I}
{4.571586413027576, -0.922579586535172 + 0.36503664381402534*I}
{4.593908429704415, -0.9218951711037513 + 0.36531430892441413*I}
{4.6169363534237, -0.9214489577134622 + 0.3653349077584246*I}
{4.640690196902693, -0.9212702281950628 + 0.3650584107414395*I}
{4.66519064602043, -0.9213846905535789 + 0.36444036824268133*I}
{4.69045908915222, -0.9218138770537512 + 0.36343244323637924*I}
{4.7165176478790825, -0.9225746191228043 + 0.36198301387931314*I}
{4.743389209143773, -0.9236786050224635 + 0.3600378347462675*I}
{4.771097458929365, -0.9251320247401731 + 0.3575407452730156*I}
{4.799666917540904, -0.9269353051093642 + 0.35443441392578745*I}
{4.829122976575547, -0.929082936800402 + 0.35066110672951684*I}
{4.859491937671779, -0.9315633935350676 + 0.3461634690281198*I}
{4.890801053133806, -0.9343591426735647 + 0.3408853097031816*I}
{4.92307856853316, -0.9374467452077971 + 0.33477237752835065*I}
{4.956353767395754, -0.9407970421703301 + 0.3277731198721556*I}
{4.990657018089409, -0.9443754235361802 + 0.31983941456967485*I}
{5.026019823033938, -0.9481421748546099 + 0.3109272664523262*I}
{5.062474870363548, -0.9520528960999903 + 0.3009974607448391*I}
{5.100056088179427, -0.9560589865735786 + 0.2900161662999496*I}
{5.138798701539092, -0.960108189120409 + 0.2779554824360719*I}
{5.178739292338363, -0.9641451864458416 + 0.26479392396342066*I}
{5.219915862251736, -0.9681122419228994 + 0.25051683982267986*I}
{5.262367898907573, -0.9719498769725398 + 0.23511676161075237*I}
