{3.`32., Around[0.0742647100991991, 0.004024247864644177]}
{3.5`32., Around[1.2836429013588955, 0.020714061376471693]}
{4.`32., Around[2.6637521343909896, 0.002433434864615336]}
{4.5`32., Around[3.765611105326969, 0.016536200739687423]}
{5.`32., Around[4.391333622049436, 0.0596156860764685]}
{5.5`32., Around[4.533952755109378, 0.1863009406442142]}
{6.`32., Around[4.372668396991123, 0.27401793766139537]}
{6.5`32., Around[3.8212604609370957, 0.31020347689839545]}
{7.`32., Around[2.9977227199999534, 0.21385798322048144]}
{7.5`32., Around[8.8878274954291, 0.7857862978587038]}
{8.`32., Around[-1.4166985214376225*^15, 1.416698521437637*^15]}
{8.5`32., Around[21.618161148415567, 0.7318931028828022]}
{9.`32., Around[5.914375393488622*^16, 5.914375393488619*^16]}
{9.5`32., Around[21.313097184597776, 3.2739684974899674]}
{10.`32., Around[17.899751485183682, 5.7529823679897305]}
