{3.`32., Around[0.07162525767164629, 0.00045495315221082133]}
{3.5`32., Around[1.262943768512038, 4.8861556858348365*^-6]}
{4.`32., Around[2.661351690734961, 0.000011279090779581225]}
{4.5`32., Around[3.749402661603585, 0.00011504603155332305]}
{5.`32., Around[4.334135364025824, 0.0008770771029351643]}
{5.5`32., Around[4.44179950762933, 0.03242029046170769]}
{6.`32., Around[4.159268349249876, 0.02324137001588822]}
{6.5`32., Around[3.642755626768822, 0.05153638928590376]}
{7.`32., Around[3.022728697598404, 0.09373619292740276]}
{7.5`32., Around[9.158683739251138, 0.411119647162276]}
{8.`32., Around[17.077849013235944, 1.0080492782327113]}
{8.5`32., Around[25.839700211410157, 1.9268716362016107]}
{9.`32., Around[34.74658538128477, 3.763044803527455]}
{9.5`32., Around[39.96227088500481, 5.677269337469863]}
{10.`32., Around[48.90330493081771, 9.187941948763246]}
